Instance,BMA Weighted Prediction
Instance 1,0.9640936208162837
Instance 2,0.9626180952907973
Instance 3,0.9411476146788991
Instance 4,0.9593195077332445
Instance 5,0.9748536510266921
Instance 6,0.9534910251725103
Instance 7,0.9742024963620339
Instance 8,0.9613032125928958
Instance 9,0.9616522060100745
Instance 10,0.9600829987585511
Instance 11,0.9602775235436752
Instance 12,0.9584409453708329
Instance 13,0.9557415565045234
Instance 14,0.9547521776332677
Instance 15,0.9573681475322208
Instance 16,0.952794964028777
Instance 17,0.9476777760533872
Instance 18,0.9399948198404695
Instance 19,0.9303036995515694
Instance 20,0.984621051301491
Instance 21,0.9849966261808366
Instance 22,0.9849949469429006
Instance 23,0.9857492339121553
Instance 24,0.9880061037639877
Instance 25,0.9880081632653062
Instance 26,0.8259269926322841
Instance 27,0.9862515842839036
Instance 28,0.9830003779289493
Instance 29,0.98474968537629
Instance 30,0.9336066945158528
Instance 31,0.9569500653116674
Instance 32,0.9734455723321771
Instance 33,0.987255778382053
Instance 34,0.9549908299224941
Instance 35,0.9863053855569156
Instance 36,0.9337007869589657
Instance 37,0.9738513514616185
Instance 38,0.9596151338766008
Instance 39,0.9854991493705342
Instance 40,0.9873405846363019
Instance 41,0.9866752717391304
Instance 42,0.98900882852292
Instance 43,0.9886766101694915
Instance 44,0.8918193939393939
Instance 45,0.8891581920903955
Instance 46,0.8880590789739446
Instance 47,0.9849966261808366
Instance 48,0.9844954576043069
Instance 49,0.9831670584284755
Instance 50,0.9843331934888406
Instance 51,0.9676283452152454
Instance 52,0.9517965247185511
Instance 53,0.9414304012181735
Instance 54,0.9501017333333334
Instance 55,0.9564625359830748
Instance 56,0.9681157595283796
Instance 57,0.98900882852292
Instance 58,0.8891581920903955
Instance 59,0.9844954576043069
Instance 60,0.9676283452152454
Instance 61,0.9501017333333334
Instance 62,0.9681157595283796
Instance 63,0.9414304012181735
Instance 64,0.9843331934888406
Instance 65,0.9849966261808366
Instance 66,0.8918193939393939
Instance 67,0.9866752717391304
Instance 68,0.9650155486756107
Instance 69,0.9545082410159414
Instance 70,0.9546051240341601
Instance 71,0.9707388803978376
Instance 72,0.9601916888916453
Instance 73,0.958187052450786
Instance 74,0.956404209039548
Instance 75,0.9537516770374864
Instance 76,0.9508073186741057
Instance 77,0.9700839195549852
Instance 78,0.9687108037383177
Instance 79,0.9668004478764481
Instance 80,0.9650155486756107
Instance 81,0.9626404114906831
Instance 82,0.9633667438864248
Instance 83,0.9619332730966071
Instance 84,0.9602775235436752
Instance 85,0.9584409453708329
Instance 86,0.9558165902916435
Instance 87,0.9533648562584501
Instance 88,0.949667172819773
Instance 89,0.9453599693648604
Instance 90,0.9707388803978376
Instance 91,0.968933884148849
Instance 92,0.9656052625670097
Instance 93,0.9666257446204967
Instance 94,0.9629468875066296
Instance 95,0.9579375223347228
Instance 96,0.9489068100358423
Instance 97,0.9601400255414251
Instance 98,0.9523275146805341
Instance 99,0.9787395527512294
Instance 100,0.9536393893092145
All Method BMA Weighted Prediction,0.9640936208162837
