Instance,BMA Weighted Prediction
Instance 1,0.7471798294401187
Instance 2,0.7528233199821984
Instance 3,0.7826478751084128
Instance 4,0.7259055041402825
Instance 5,0.7108832588176851
Instance 6,0.6619050401753105
Instance 7,0.7331436065573771
Instance 8,0.8057064116985376
Instance 9,0.7980797413793103
Instance 10,0.6348489892984543
Instance 11,0.6339477693144723
Instance 12,0.7654436860068259
Instance 13,0.8350873493975902
Instance 14,0.8004285714285714
Instance 15,0.7755118829981718
Instance 16,0.7114417177914111
Instance 17,0.7675125072716695
Instance 18,0.7390641860465116
Instance 19,0.7103555555555555
Instance 20,0.7701119133574008
All Method BMA Weighted Prediction,0.7471798294401187
