Instance,BMA Weighted Prediction
Instance 1,0.6569970337411939
Instance 2,0.674419670672007
Instance 3,0.6858213356461406
Instance 4,0.6334695567462251
Instance 5,0.6230168902136115
Instance 6,0.5717494521548576
Instance 7,0.6325934426229509
Instance 8,0.7006164229471317
Instance 9,0.7139030172413791
Instance 10,0.5314114149821642
Instance 11,0.5726060935799782
Instance 12,0.6887508532423207
Instance 13,0.7448765060240963
Instance 14,0.6827936507936508
Instance 15,0.665363802559415
Instance 16,0.6056319018404909
Instance 17,0.686220477021524
Instance 18,0.6587953488372091
Instance 19,0.6394444444444444
Instance 20,0.6679277978339351
All Method BMA Weighted Prediction,0.6569970337411939
