Instance,BMA Weighted Prediction
Instance 1,0.7305537144873832
Instance 2,0.7946409134427855
Instance 3,0.7661116462160438
Instance 4,0.6760569326013317
Instance 5,0.6856978885453586
Instance 6,0.5883075427127397
Instance 7,0.7105839830977413
Instance 8,0.8560163057552351
Instance 9,0.8039992778780723
Instance 10,0.7510588069610702
Instance 11,0.7016810339943342
Instance 12,0.6025881925961771
Instance 13,0.66750066118368
Instance 14,0.8391760541663874
Instance 15,0.8307344793294502
Instance 16,0.4884179405428695
Instance 17,0.7586623521914607
Instance 18,0.8944442812836256
Instance 19,0.8391760541663874
Instance 20,0.66750066118368
All Method BMA Weighted Prediction,0.7305537144873832
