Instance,BMA Weighted Prediction
Instance 1,0.6106733633315687
Instance 2,0.6410089181234707
Instance 3,0.6698852294488972
Instance 4,0.5631794182922556
Instance 5,0.5461373840585174
Instance 6,0.4496334120749327
Instance 7,0.633303737612556
Instance 8,0.723418337277314
Instance 9,0.669079789844003
Instance 10,0.5923505582939341
Instance 11,0.6364732223796035
Instance 12,0.5089107992580046
Instance 13,0.44328767940654723
Instance 14,0.6652101964201916
Instance 15,0.7033969171757353
Instance 16,0.3930818785006463
Instance 17,0.5788197054450187
Instance 18,0.7962173998354327
Instance 19,0.6652101964201916
Instance 20,0.44328767940654723
All Method BMA Weighted Prediction,0.6106733633315687
