Instance,BMA Weighted Prediction
Instance 1,0.7352251955767308
Instance 2,0.7099496117158967
Instance 3,0.7094810234768424
Instance 4,0.7805160806759336
Instance 5,0.728491784179172
Instance 6,0.7893164038894688
Instance 7,0.7572218572362794
Instance 8,0.6709875340447381
Instance 9,0.723250557792899
Instance 10,0.7578793079167085
Instance 11,0.7033265368271955
Instance 12,0.7560888216791677
Instance 13,0.7571430736977907
Instance 14,0.62680430381444
Instance 15,0.7156538712885353
Instance 16,0.8592002843601896
Instance 17,0.7042635275791261
Instance 18,0.6729033862902716
Instance 19,0.62680430381444
Instance 20,0.7571430736977907
All Method BMA Weighted Prediction,0.7352251955767307
