Instance,BMA Weighted Prediction
Instance 1,0.832219587628866
Instance 2,0.8197078947368421
Instance 3,0.8319689320388349
Instance 4,0.8328681672025724
Instance 5,0.8442934169278997
Instance 6,0.8489685950413224
Instance 7,0.8327551724137933
Instance 8,0.8149706666666666
Instance 9,0.8145493333333333
Instance 10,0.816352422907489
Instance 11,0.854591304347826
Instance 12,0.8566110429447854
Instance 13,0.8338000000000001
Instance 14,0.8320307692307692
Instance 15,0.8073594594594595
Instance 16,0.8560294478527609
Instance 17,0.8314230769230769
Instance 18,0.8044575342465753
Instance 19,0.8320307692307692
Instance 20,0.8338000000000001
All Method BMA Weighted Prediction,0.832219587628866
