Instance,BMA Weighted Prediction
Instance 1,0.652179381443299
Instance 2,0.6238789473684211
Instance 3,0.6410271844660195
Instance 4,0.6608398713826367
Instance 5,0.6838413793103448
Instance 6,0.7050454545454545
Instance 7,0.6489353448275863
Instance 8,0.5986266666666666
Instance 9,0.6106346666666667
Instance 10,0.6261444933920705
Instance 11,0.6888869565217391
Instance 12,0.7095263803680982
Instance 13,0.6787
Instance 14,0.6396846153846154
Instance 15,0.5889635135135135
Instance 16,0.7261018404907976
Instance 17,0.6570038461538461
Instance 18,0.5645520547945205
Instance 19,0.6396846153846154
Instance 20,0.6787
All Method BMA Weighted Prediction,0.652179381443299
