Instance,BMA Weighted Prediction
Instance 1,0.8522095360824742
Instance 2,0.8414911184210527
Instance 3,0.8531579288025891
Instance 4,0.8518652733118971
Instance 5,0.866098119122257
Instance 6,0.8700747933884297
Instance 7,0.8530112068965517
Instance 8,0.8390302222222222
Instance 9,0.8316920000000001
Instance 10,0.8373837004405286
Instance 11,0.873113043478261
Instance 12,0.8805312883435583
Instance 13,0.8589499999999999
Instance 14,0.8616012820512821
Instance 15,0.8314499999999999
Instance 16,0.8704018404907976
Instance 17,0.8510173076923079
Instance 18,0.8225972602739726
Instance 19,0.8616012820512821
Instance 20,0.8589499999999999
All Method BMA Weighted Prediction,0.8522095360824743
