Instance,BMA Weighted Prediction
Instance 1,0.6342512783053323
Instance 2,0.6185336273428885
Instance 3,0.6154694732201896
Instance 4,0.63468
Instance 5,0.6320123565754634
Instance 6,0.6165574563034585
Instance 7,0.6115140671947555
Instance 8,0.5907327586206896
Instance 9,0.6698904991948471
Instance 10,0.615309647444657
Instance 11,0.6732999281609195
Instance 12,0.5583702857142857
Instance 13,0.6049863720073665
Instance 14,0.5714159125188537
Instance 15,0.5774422794117646
Instance 16,0.7030593607305936
Instance 17,0.6783364485981308
Instance 18,0.6387428571428572
Instance 19,0.5714159125188537
Instance 20,0.6049863720073665
All Method BMA Weighted Prediction,0.6342512783053323
