Instance,BMA Weighted Prediction
Instance 1,0.405382030679328
Instance 2,0.40380132304299887
Instance 3,0.40339144809345384
Instance 4,0.40602608695652176
Instance 5,0.4077528684907325
Instance 6,0.40738043882484193
Instance 7,0.40372439224255663
Instance 8,0.400877085650723
Instance 9,0.4063636607622114
Instance 10,0.40423257720688704
Instance 11,0.40988613505747123
Instance 12,0.403292
Instance 13,0.40779042357274403
Instance 14,0.4033250377073907
Instance 15,0.40051544117647053
Instance 16,0.4139992975061467
Instance 17,0.41055895039539897
Instance 18,0.39785054945054954
Instance 19,0.4033250377073907
Instance 20,0.40779042357274403
All Method BMA Weighted Prediction,0.40538203067932793
