Instance,BMA Weighted Prediction
Instance 1,0.7824081446311176
Instance 2,0.7731554575523705
Instance 3,0.7713165087061936
Instance 4,0.8032432608695652
Instance 5,0.7693704766107679
Instance 6,0.7699717367050948
Instance 7,0.7948415733406172
Instance 8,0.7567452725250278
Instance 9,0.8048891572732153
Instance 10,0.7971336430718775
Instance 11,0.7882686781609196
Instance 12,0.7345428571428572
Instance 13,0.7804906077348066
Instance 14,0.7253303167420815
Instance 15,0.7837161764705882
Instance 16,0.8394787495609414
Instance 17,0.7912785765636233
Instance 18,0.7622131868131868
Instance 19,0.7253303167420815
Instance 20,0.7804906077348066
All Method BMA Weighted Prediction,0.7824081446311175
