Instance,BMA Weighted Prediction
Instance 1,0.7532929145361578
Instance 2,0.747128776185226
Instance 3,0.750869958122107
Instance 4,0.7575382608695651
Instance 5,0.7489796999117388
Instance 6,0.7746084046113797
Instance 7,0.7556244195574978
Instance 8,0.7424621802002225
Instance 9,0.7408601717659689
Instance 10,0.750990161246242
Instance 11,0.7357244971264368
Instance 12,0.779764
Instance 13,0.7429896869244934
Instance 14,0.73123604826546
Instance 15,0.7461536764705881
Instance 16,0.7468338602037231
Instance 17,0.7296150251617541
Instance 18,0.7533032967032968
Instance 19,0.73123604826546
Instance 20,0.7429896869244934
All Method BMA Weighted Prediction,0.7532929145361577
