Instance,BMA Weighted Prediction
Instance 1,0.45515777940102264
Instance 2,0.45021058434399125
Instance 3,0.4527068547498347
Instance 4,0.46242434782608693
Instance 5,0.4537325684024713
Instance 6,0.4501394570472294
Instance 7,0.461250751160885
Instance 8,0.4458264738598443
Instance 9,0.4617638217928073
Instance 10,0.45816151954085815
Instance 11,0.4657435344827586
Instance 12,0.4410925714285714
Instance 13,0.4568268876611419
Instance 14,0.4400693815987934
Instance 15,0.45511029411764703
Instance 16,0.48115595363540564
Instance 17,0.4616836808051761
Instance 18,0.4403406593406594
Instance 19,0.4400693815987934
Instance 20,0.4568268876611419
All Method BMA Weighted Prediction,0.45515777940102264
