Instance,BMA Weighted Prediction
Instance 1,0.7136778637974021
Instance 2,0.7190428037920139
Instance 3,0.7197088863242931
Instance 4,0.720705272133011
Instance 5,0.7088152820066697
Instance 6,0.7061491865194655
Instance 7,0.7217992489890237
Instance 8,0.7119726145863362
Instance 9,0.7115641025641025
Instance 10,0.7211413447782545
Instance 11,0.7061491865194655
Instance 12,0.7029769645720951
Instance 13,0.7262966682608003
Instance 14,0.7280538752362948
Instance 15,0.7161987961349595
Instance 16,0.6998199675324674
Instance 17,0.7143898496848232
Instance 18,0.7207923409709983
Instance 19,0.7094299035369774
Instance 20,0.7196693239795918
Instance 21,0.713732608347993
Instance 22,0.6932229663508659
Instance 23,0.7161987961349595
Instance 24,0.7143898496848232
Instance 25,0.7094299035369774
Instance 26,0.713732608347993
Instance 27,0.7262966682608003
Instance 28,0.7362845842854631
Instance 29,0.7239413229018491
Instance 30,0.7072372668579627
Instance 31,0.7083452315577521
Instance 32,0.7123286700581396
Instance 33,0.7190753213833063
Instance 34,0.7182846663088208
Instance 35,0.7111035230352304
Instance 36,0.7003733381897651
Instance 37,0.7230986911920764
Instance 38,0.7198780358092536
Instance 39,0.7388556592149269
Instance 40,0.7268423178226514
Instance 41,0.7264360424028268
Instance 42,0.7378595789107362
Instance 43,0.7198780358092536
Instance 44,0.7160648148148148
Instance 45,0.7207054001069327
Instance 46,0.709713534107402
Instance 47,0.7091842249406609
Instance 48,0.7212532350826744
Instance 49,0.702346280688897
Instance 50,0.6983239462543714
Instance 51,0.7181803398501736
Instance 52,0.7292053314121039
Instance 53,0.7288035164038427
Instance 54,0.7404817987152037
Instance 55,0.7220831211349583
Instance 56,0.7181803398501736
Instance 57,0.7164594105948291
Instance 58,0.7282997508009967
Instance 59,0.7123879883624273
Instance 60,0.7206290868094701
All Method BMA Weighted Prediction,0.713677863797402
