Instance,BMA Weighted Prediction
Instance 1,0.9012587586930848
Instance 2,0.9003366848606723
Instance 3,0.903272360069244
Instance 4,0.9072555066079295
Instance 5,0.901075975061621
Instance 6,0.8985029052876234
Instance 7,0.9009828134026575
Instance 8,0.9007920149899106
Instance 9,0.8992054179342314
Instance 10,0.9059762517882689
Instance 11,0.8985029052876234
Instance 12,0.8977324682898382
Instance 13,0.9024605451936873
Instance 14,0.9101052299936988
Instance 15,0.9077435450657374
Instance 16,0.8979743506493506
Instance 17,0.8978836269597544
Instance 18,0.9004337445922129
Instance 19,0.8984593247588423
Instance 20,0.9042563775510203
Instance 21,0.903498320806013
Instance 22,0.8942090819993467
Instance 23,0.9077435450657374
Instance 24,0.8978836269597544
Instance 25,0.8984593247588423
Instance 26,0.903498320806013
Instance 27,0.9024605451936873
Instance 28,0.9100015820003514
Instance 29,0.9110199146514935
Instance 30,0.9051983500717359
Instance 31,0.8972055647080356
Instance 32,0.896876453488372
Instance 33,0.897760094151729
Instance 34,0.9040432993379852
Instance 35,0.9012280036133693
Instance 36,0.8994042979420871
Instance 37,0.9073639900955075
Instance 38,0.9042384329019676
Instance 39,0.9072205597606052
Instance 40,0.9069727831431078
Instance 41,0.9050759717314485
Instance 42,0.9132223768922916
Instance 43,0.9042384329019677
Instance 44,0.9033230056980056
Instance 45,0.9078861165567633
Instance 46,0.89976179245283
Instance 47,0.8977555230965855
Instance 48,0.906284327821711
Instance 49,0.8968644192011725
Instance 50,0.8958842260261367
Instance 51,0.8990407454778002
Instance 52,0.9028454610951009
Instance 53,0.9008733007069059
Instance 54,0.9092928265524627
Instance 55,0.8999994543470354
Instance 56,0.8990407454778002
Instance 57,0.9006342433556317
Instance 58,0.9090364898540405
Instance 59,0.8986209476309229
Instance 60,0.9182956595264938
All Method BMA Weighted Prediction,0.9012587586930848
