Instance,BMA Weighted Prediction
Instance 1,0.797577483269912
Instance 2,0.794319161160586
Instance 3,0.7965415464512405
Instance 4,0.8107378144095494
Instance 5,0.7974281571697839
Instance 6,0.7953910517141195
Instance 7,0.7959243212016175
Instance 8,0.7941888152205244
Instance 9,0.7996137911053163
Instance 10,0.8024140200286122
Instance 11,0.7953910517141196
Instance 12,0.7910870389269572
Instance 13,0.7928165152239757
Instance 14,0.8110349716446124
Instance 15,0.8120839537462378
Instance 16,0.794966883116883
Instance 17,0.7932946500727331
Instance 18,0.7919762858516263
Instance 19,0.7960575562700962
Instance 20,0.8052088647959182
Instance 21,0.8005770030385414
Instance 22,0.7878471087879778
Instance 23,0.8120839537462378
Instance 24,0.7932946500727331
Instance 25,0.7960575562700962
Instance 26,0.8005770030385414
Instance 27,0.7928165152239757
Instance 28,0.8086064334680961
Instance 29,0.8125842816500709
Instance 30,0.8113020086083212
Instance 31,0.7925385319421561
Instance 32,0.7884916424418604
Instance 33,0.7937932283179431
Instance 34,0.8019348720701376
Instance 35,0.8035056910569104
Instance 36,0.7928858131487889
Instance 37,0.8097626459143967
Instance 38,0.8073050877503988
Instance 39,0.80787114944552
Instance 40,0.8057274802458295
Instance 41,0.8124151943462896
Instance 42,0.8156272838002434
Instance 43,0.8073050877503988
Instance 44,0.8021014957264956
Instance 45,0.8101201211905185
Instance 46,0.7892786647314949
Instance 47,0.7960847179112652
Instance 48,0.7996578001437813
Instance 49,0.7907464272627336
Instance 50,0.7852913675685624
Instance 51,0.7860398319020647
Instance 52,0.7899877521613834
Instance 53,0.7967489577669024
Instance 54,0.8002862241256246
Instance 55,0.7914518006547837
Instance 56,0.7860398319020647
Instance 57,0.7945698788645813
Instance 58,0.7981320754716981
Instance 59,0.7880290939318371
Instance 60,0.8117198421645998
All Method BMA Weighted Prediction,0.797577483269912
