Instance,BMA Weighted Prediction
Instance 1,0.6288431964309145
Instance 2,0.6317627118644068
Instance 3,0.6242554818234275
Instance 4,0.6317348301833167
Instance 5,0.626202406843555
Instance 6,0.6252934340499708
Instance 7,0.628022097053726
Instance 8,0.6284339867396943
Instance 9,0.6319472693032013
Instance 10,0.6273846924177395
Instance 11,0.6252934340499708
Instance 12,0.6369357049132526
Instance 13,0.6270137095488602
Instance 14,0.6270389098928795
Instance 15,0.6291813717725327
Instance 16,0.6219194805194804
Instance 17,0.6239746242120574
Instance 18,0.6274773273513858
Instance 19,0.6318316720257233
Instance 20,0.6306340880102039
Instance 21,0.623304813689429
Instance 22,0.6339183273440051
Instance 23,0.6291813717725327
Instance 24,0.6239746242120574
Instance 25,0.6318316720257233
Instance 26,0.623304813689429
Instance 27,0.6270137095488602
Instance 28,0.6304027069783792
Instance 29,0.6235681009957325
Instance 30,0.6248436154949782
Instance 31,0.6199954237598386
Instance 32,0.6228546511627906
Instance 33,0.6311794314684048
Instance 34,0.6303449633208086
Instance 35,0.626457633242999
Instance 36,0.6326448734292478
Instance 37,0.6328157056950832
Instance 38,0.6317216805530934
Instance 39,0.6350021123041716
Instance 40,0.6354867427568042
Instance 41,0.6398151943462898
Instance 42,0.6341466852270751
Instance 43,0.6317216805530934
Instance 44,0.6459693732193732
Instance 45,0.6224468009267509
Instance 46,0.6181251814223512
Instance 47,0.6224873105714807
Instance 48,0.6169033069734005
Instance 49,0.6140621106632466
Instance 50,0.6287084483710657
Instance 51,0.6321355746391376
Instance 52,0.6215797910662824
Instance 53,0.6259322095341671
Instance 54,0.6203345824411135
Instance 55,0.6175802109858132
Instance 56,0.6321355746391376
Instance 57,0.6264541674199963
Instance 58,0.6208624065503738
Instance 59,0.6175949709060682
Instance 60,0.6324523675310033
All Method BMA Weighted Prediction,0.6288431964309146
