Instance,BMA Weighted Prediction
Instance 1,0.5985760398897781
Instance 2,0.6006183567940246
Instance 3,0.5947569244085401
Instance 4,0.6310729003836861
Instance 5,0.5907635203711759
Instance 6,0.5879317257408484
Instance 7,0.6042712305025997
Instance 8,0.6025704814067453
Instance 9,0.593643343473852
Instance 10,0.6067525035765379
Instance 11,0.5879317257408484
Instance 12,0.5830867473392622
Instance 13,0.5966223497529093
Instance 14,0.6304295841209828
Instance 15,0.6262645335022967
Instance 16,0.5779334415584415
Instance 17,0.5931061903992242
Instance 18,0.609335042461144
Instance 19,0.597557234726688
Instance 20,0.6022595663265305
Instance 21,0.5959977610746842
Instance 22,0.5692528585429598
Instance 23,0.6262645335022967
Instance 24,0.5931061903992242
Instance 25,0.597557234726688
Instance 26,0.5959977610746842
Instance 27,0.5966223497529093
Instance 28,0.6366187379152751
Instance 29,0.6249493243243243
Instance 30,0.6167829985652796
Instance 31,0.5825180303862345
Instance 32,0.5974625726744186
Instance 33,0.6045685315951476
Instance 34,0.6076682769726247
Instance 35,0.5895114724480578
Instance 36,0.5762917501365872
Instance 37,0.6320065440396179
Instance 38,0.6286458074809431
Instance 39,0.6482737194155956
Instance 40,0.6460935908691834
Instance 41,0.6354750883392226
Instance 42,0.6507863232991126
Instance 43,0.6286458074809431
Instance 44,0.6229097222222222
Instance 45,0.6215542684013544
Instance 46,0.585507075471698
Instance 47,0.5741466131093663
Instance 48,0.5909203810208482
Instance 49,0.5668748625870281
Instance 50,0.5606613289158844
Instance 51,0.5815320665083136
Instance 52,0.6059018371757925
Instance 53,0.5947531266992931
Instance 54,0.6110872591006424
Instance 55,0.5876054929065115
Instance 56,0.5815320665083136
Instance 57,0.5926438257096365
Instance 58,0.6089699181203274
Instance 59,0.5696039068994181
Instance 60,0.6343565388951521
All Method BMA Weighted Prediction,0.5985760398897781
