Instance,BMA Weighted Prediction
Instance 1,0.9084408870227004
Instance 2,0.9072520827348463
Instance 3,0.9084847085978072
Instance 4,0.9136228506465822
Instance 5,0.905757865738727
Instance 6,0.9061327716443928
Instance 7,0.9074786250722126
Instance 8,0.9059247621793022
Instance 9,0.9068225409242358
Instance 10,0.921028469241774
Instance 11,0.9061327716443928
Instance 12,0.9039349759440152
Instance 13,0.9071699346405229
Instance 14,0.9142331442974164
Instance 15,0.9112859179470932
Instance 16,0.9028574675324674
Instance 17,0.9047958622919023
Instance 18,0.904576189713187
Instance 19,0.9038382636655947
Instance 20,0.9206882971938775
Instance 21,0.9199710538941308
Instance 22,0.9007971251225091
Instance 23,0.9112859179470932
Instance 24,0.9047958622919023
Instance 25,0.9038382636655947
Instance 26,0.9199710538941308
Instance 27,0.9071699346405229
Instance 28,0.9134492880998418
Instance 29,0.9116884779516357
Instance 30,0.9088124103299855
Instance 31,0.9009254988101772
Instance 32,0.9011718750000001
Instance 33,0.9020510592069527
Instance 34,0.9190615494721773
Instance 35,0.9194484191508581
Instance 36,0.9159426334001094
Instance 37,0.9101536964980543
Instance 38,0.9106213437333806
Instance 39,0.9122300651293785
Instance 40,0.9103253731343283
Instance 41,0.9114475265017667
Instance 42,0.9286559944318774
Instance 43,0.9106213437333806
Instance 44,0.9079570868945868
Instance 45,0.912162181429335
Instance 46,0.9024462989840347
Instance 47,0.9035555961292677
Instance 48,0.9214534507548525
Instance 49,0.9026742396482227
Instance 50,0.8998836738450212
Instance 51,0.9016320116937695
Instance 52,0.9041512968299712
Instance 53,0.9052633677723401
Instance 54,0.9230069593147753
Instance 55,0.9043943252091671
Instance 56,0.9016320116937695
Instance 57,0.9033198336647983
Instance 58,0.9210493058027768
Instance 59,0.8996365336658355
Instance 60,0.9247567643742954
All Method BMA Weighted Prediction,0.9084408870227005
