Instance,BMA Weighted Prediction
Instance 1,0.6268800682325154
Instance 2,0.628099253088193
Instance 3,0.6316390652048471
Instance 4,0.6283639334943867
Instance 5,0.6249779614325068
Instance 6,0.6236554328878559
Instance 7,0.6303912478336221
Instance 8,0.6237180743730181
Instance 9,0.6275956830363609
Instance 10,0.633188268955651
Instance 11,0.6236554328878559
Instance 12,0.620201049715702
Instance 13,0.6334921090387374
Instance 14,0.6337218021424069
Instance 15,0.6264560430856961
Instance 16,0.6211467532467532
Instance 17,0.6272215936641344
Instance 18,0.6272603749399134
Instance 19,0.6241472668810288
Instance 20,0.6346980229591835
Instance 21,0.6303817367663521
Instance 22,0.6157709898725906
Instance 23,0.6264560430856961
Instance 24,0.6272215936641344
Instance 25,0.6241472668810288
Instance 26,0.6303817367663521
Instance 27,0.6334921090387374
Instance 28,0.6360063280014061
Instance 29,0.6322699146514935
Instance 30,0.62241893830703
Instance 31,0.6248654585392639
Instance 32,0.6232781613372093
Instance 33,0.6282042368278109
Instance 34,0.631728216138844
Instance 35,0.6317284552845528
Instance 36,0.6225246767437626
Instance 37,0.6279078528475416
Instance 38,0.6263006559120723
Instance 39,0.6344916387959865
Instance 40,0.6263518876207199
Instance 41,0.6310973498233216
Instance 42,0.6378465286236297
Instance 43,0.6263006559120723
Instance 44,0.6220934829059829
Instance 45,0.6306642309748707
Instance 46,0.6248577648766327
Instance 47,0.62975223662589
Instance 48,0.6367444284687275
Instance 49,0.6247900329791132
Instance 50,0.6204341984170807
Instance 51,0.6289793531883793
Instance 52,0.6332494596541787
Instance 53,0.6381616820735907
Instance 54,0.6449734118486795
Instance 55,0.6332646416878865
Instance 56,0.6289793531883793
Instance 57,0.6297712890978122
Instance 58,0.6366959772160911
Instance 59,0.6281602244389027
Instance 60,0.6287564825253663
All Method BMA Weighted Prediction,0.6268800682325153
