Instance,BMA Weighted Prediction
Instance 1,0.7066672352709615
Instance 2,0.717710571674806
Instance 3,0.7183626658972878
Instance 4,0.7043159016626402
Instance 5,0.7040079744816586
Instance 6,0.700957437536316
Instance 7,0.7060297515886771
Instance 8,0.7127379648313634
Instance 9,0.702992177314211
Instance 10,0.7081718168812589
Instance 11,0.7009574375363159
Instance 12,0.6968539145648052
Instance 13,0.7318476008289494
Instance 14,0.7168320730938877
Instance 15,0.7011409789323617
Instance 16,0.6973089285714285
Instance 17,0.6996007758202684
Instance 18,0.7127087005287615
Instance 19,0.7093601286173632
Instance 20,0.7042992665816326
Instance 21,0.7020631696785542
Instance 22,0.6892520418163998
Instance 23,0.7011409789323617
Instance 24,0.6996007758202684
Instance 25,0.7093601286173632
Instance 26,0.7020631696785542
Instance 27,0.7318476008289494
Instance 28,0.7315239936719986
Instance 29,0.7148794452347084
Instance 30,0.6933613701578192
Instance 31,0.6953069741900053
Instance 32,0.7063762718023257
Instance 33,0.7089007785623755
Instance 34,0.7115458937198067
Instance 35,0.6968825654923215
Instance 36,0.6891660899653979
Instance 37,0.7140949770074284
Instance 38,0.7103954972522603
Instance 39,0.7165111776095756
Instance 40,0.724657769973661
Instance 41,0.7128454063604239
Instance 42,0.7189961719157821
Instance 43,0.7103954972522603
Instance 44,0.7054257478632477
Instance 45,0.7111620032079843
Instance 46,0.7218858853410739
Instance 47,0.7096611283549389
Instance 48,0.7160639827462257
Instance 49,0.7071179919384389
Instance 50,0.7019657647708448
Instance 51,0.7083754796272611
Instance 52,0.7280608789625361
Instance 53,0.7159639296719232
Instance 54,0.7222232334047111
Instance 55,0.7134610767551837
Instance 56,0.7083754796272611
Instance 57,0.7243534623033808
Instance 58,0.7304672481310075
Instance 59,0.7275128844555279
Instance 60,0.7155487598647126
All Method BMA Weighted Prediction,0.7066672352709616
