Instance,BMA Weighted Prediction
Instance 1,0.5958409657525258
Instance 2,0.6156091640333237
Instance 3,0.589762117714945
Instance 4,0.6112638908625834
Instance 5,0.5949844860084094
Instance 6,0.592290964555491
Instance 7,0.5871678220681688
Instance 8,0.6095089362928796
Instance 9,0.5877114298131247
Instance 10,0.5966390557939913
Instance 11,0.592290964555491
Instance 12,0.576381688292754
Instance 13,0.6110629682767416
Instance 14,0.6062997794580969
Instance 15,0.6120969428164105
Instance 16,0.5909147727272726
Instance 17,0.58218474220139
Instance 18,0.601413074827752
Instance 19,0.6020644694533761
Instance 20,0.5877830038265305
Instance 21,0.5928248840556531
Instance 22,0.570047206795165
Instance 23,0.6120969428164105
Instance 24,0.58218474220139
Instance 25,0.6020644694533761
Instance 26,0.5928248840556531
Instance 27,0.6110629682767416
Instance 28,0.6317029354895412
Instance 29,0.6065958392603128
Instance 30,0.6098628048780488
Instance 31,0.579293611568735
Instance 32,0.597719113372093
Instance 33,0.5919766431287344
Instance 34,0.603765253175881
Instance 35,0.5822948509485095
Instance 36,0.5680990712074303
Instance 37,0.6383330385567738
Instance 38,0.6351458961177096
Instance 39,0.6286000704101389
Instance 40,0.6557155399473222
Instance 41,0.6294167844522968
Instance 42,0.6396439881677398
Instance 43,0.6351458961177098
Instance 44,0.615906160968661
Instance 45,0.6033181251113883
Instance 46,0.6009664368650216
Instance 47,0.573439109001278
Instance 48,0.5848779654924514
Instance 49,0.5791654452180286
Instance 50,0.5590200625805264
Instance 51,0.5527818381143796
Instance 52,0.5945147694524495
Instance 53,0.5671460938916077
Instance 54,0.5786009992862241
Instance 55,0.57280902146235
Instance 56,0.5527818381143796
Instance 57,0.5952211173386366
Instance 58,0.6062127091491634
Instance 59,0.6093784289276807
Instance 60,0.6035696166854566
All Method BMA Weighted Prediction,0.5958409657525258
