Instance,BMA Weighted Prediction
Instance 1,0.3731827844114945
Instance 2,0.3783115484056305
Instance 3,0.3703185227928447
Instance 4,0.3833227227511723
Instance 5,0.3705776424532405
Instance 6,0.3690270191748983
Instance 7,0.3690739456961294
Instance 8,0.37684318247333515
Instance 9,0.36862523540489633
Instance 10,0.3815042918454935
Instance 11,0.3690270191748983
Instance 12,0.36798162997521494
Instance 13,0.37570970827355327
Instance 14,0.38129552614996837
Instance 15,0.3816394741010612
Instance 16,0.3656217532467532
Instance 17,0.3639605624696945
Instance 18,0.37269347860919727
Instance 19,0.37220771704180056
Instance 20,0.37744084821428564
Instance 21,0.37790996321765546
Instance 22,0.36268245671349225
Instance 23,0.3816394741010612
Instance 24,0.3639605624696945
Instance 25,0.37220771704180056
Instance 26,0.37790996321765546
Instance 27,0.37570970827355327
Instance 28,0.38851168922481977
Instance 29,0.37914509246088185
Instance 30,0.37762661406025816
Instance 31,0.3594493867838183
Instance 32,0.3674302325581395
Instance 33,0.36693355060655447
Instance 34,0.38250509930220067
Instance 35,0.3728392050587172
Instance 36,0.37206902203605896
Instance 37,0.3889403961796957
Instance 38,0.3870904095018613
Instance 39,0.3870204189403273
Instance 40,0.3964412642669007
Instance 41,0.3865397526501766
Instance 42,0.4019331825300156
Instance 43,0.3870904095018613
Instance 44,0.3858940527065526
Instance 45,0.3772625200499019
Instance 46,0.3689978229317852
Instance 47,0.35859010407157205
Instance 48,0.37492685118619695
Instance 49,0.3590619274459509
Instance 50,0.35769630038652683
Instance 51,0.35783847980997624
Instance 52,0.3690565561959654
Instance 53,0.3587246692042777
Instance 54,0.3749427194860814
Instance 55,0.3591935249181521
Instance 56,0.35783847980997624
Instance 57,0.36849647441692274
Instance 58,0.3845227839088643
Instance 59,0.3667977971737324
Instance 60,0.39613105975197294
All Method BMA Weighted Prediction,0.3731827844114945
