Instance,BMA Weighted Prediction
Instance 1,0.5047428868737921
Instance 2,0.5153735546458812
Instance 3,0.5060625635201442
Instance 4,0.493730280067358
Instance 5,0.48963716975766014
Instance 6,0.513432258157293
Instance 7,0.5092502780147685
Instance 8,0.5050749716139495
Instance 9,0.4997145082750791
Instance 10,0.5115661860862393
Instance 11,0.5173174971653637
Instance 12,0.4950251436434014
Instance 13,0.5132544738109986
Instance 14,0.4942443715934595
Instance 15,0.47574343062074437
Instance 16,0.4982485172175977
Instance 17,0.5190787544864932
Instance 18,0.510065569579288
Instance 19,0.49957355593588515
Instance 20,0.5068247111987512
Instance 21,0.5261785197341429
Instance 22,0.5081258252066185
Instance 23,0.47574343062074437
Instance 24,0.5190787544864932
Instance 25,0.49957355593588515
Instance 26,0.5261785197341429
Instance 27,0.5176028993849789
Instance 28,0.50647460269614
Instance 29,0.4745913190795435
Instance 30,0.4842174826048172
Instance 31,0.5029944580537508
Instance 32,0.5210170311464546
Instance 33,0.5046022848897738
Instance 34,0.5074720172662923
Instance 35,0.5227353227183313
Instance 36,0.5172440667746919
Instance 37,0.4875170807184966
Instance 38,0.5149290284770944
Instance 39,0.5101513521298587
Instance 40,0.5053426330903469
Instance 41,0.49120325440242785
Instance 42,0.5071296109086634
Instance 43,0.5147366044731492
Instance 44,0.4937249527740852
Instance 45,0.49664819886454503
Instance 46,0.5171036199796688
Instance 47,0.504823312497463
Instance 48,0.5246681134737131
Instance 49,0.5287217692588241
Instance 50,0.5056689265436479
Instance 51,0.49195280886899045
Instance 52,0.506086835172073
Instance 53,0.49858437244587883
Instance 54,0.5199518251400894
Instance 55,0.523271770194782
Instance 56,0.500260702881229
Instance 57,0.49259216193480543
Instance 58,0.5149635043613927
Instance 59,0.5066741499526556
Instance 60,0.42464311017822953
All Method BMA Weighted Prediction,0.5047428868737923
