Instance,BMA Weighted Prediction
Instance 1,0.8857140054923502
Instance 2,0.9030822711471612
Instance 3,0.8993088547815821
Instance 4,0.8820387669313405
Instance 5,0.8793175088131611
Instance 6,0.8771123488978433
Instance 7,0.8729813575525814
Instance 8,0.9241028389339513
Instance 9,0.8979505703422053
Instance 10,0.8732236115149753
Instance 11,0.8669025473933649
Instance 12,0.8586145234493193
Instance 13,0.8616222687818019
Instance 14,0.8652238717339669
Instance 15,0.8870090334236677
Instance 16,0.8920858571008529
Instance 17,0.8946636202830189
Instance 18,0.8920560190703218
Instance 19,0.881148502994012
Instance 20,0.8764661016949155
Instance 21,0.8726142506142507
Instance 22,0.8434073925271194
Instance 23,0.8476039603960397
Instance 24,0.8052047387606318
Instance 25,0.8486866791744841
Instance 26,0.8563616236162362
Instance 27,0.8624566787003611
Instance 28,0.8729440188568062
Instance 29,0.9026350385824521
Instance 30,0.8994602534562213
Instance 31,0.8969636204889406
Instance 32,0.8920858571008529
Instance 33,0.9116057866184449
Instance 34,0.9164088495575223
Instance 35,0.9256046242774567
Instance 36,0.8832937535171637
Instance 37,0.8734959816303101
Instance 38,0.8679196951934348
Instance 39,0.8052047387606318
Instance 40,0.9356659230340212
All Method BMA Weighted Prediction,0.8857140054923501
