Instance,BMA Weighted Prediction
Instance 1,0.9655468811298552
Instance 2,0.9721786790266512
Instance 3,0.9681036599763871
Instance 4,0.9648888369920599
Instance 5,0.9638721504112809
Instance 6,0.9621189855415976
Instance 7,0.961952676864245
Instance 8,0.976973348783314
Instance 9,0.9678897338403042
Instance 10,0.962655423088107
Instance 11,0.9591522511848342
Instance 12,0.9566208774583964
Instance 13,0.9589129003292428
Instance 14,0.9602452494061758
Instance 15,0.9642791327913278
Instance 16,0.9695392531608351
Instance 17,0.966638266509434
Instance 18,0.9644639451728246
Instance 19,0.9627413173652695
Instance 20,0.9609721549636804
Instance 21,0.9579004914004913
Instance 22,0.952562474889514
Instance 23,0.9556530693069307
Instance 24,0.9415832320777644
Instance 25,0.9494127579737336
Instance 26,0.9523302583025831
Instance 27,0.9570306859205776
Instance 28,0.9575456688273423
Instance 29,0.9729199771363246
Instance 30,0.9717364631336406
Instance 31,0.9696661816065193
Instance 32,0.9695392531608351
Instance 33,0.9715406871609404
Instance 34,0.975741592920354
Instance 35,0.9758682080924855
Instance 36,0.9679161508159819
Instance 37,0.9676331802525832
Instance 38,0.9633769050410316
Instance 39,0.9415832320777644
Instance 40,0.9819999999999999
All Method BMA Weighted Prediction,0.9655468811298549
