Instance,BMA Weighted Prediction
Instance 1,0.934851902706944
Instance 2,0.940450289687138
Instance 3,0.9378783943329397
Instance 4,0.9353953759925269
Instance 5,0.9328413631022328
Instance 6,0.9312792130836692
Instance 7,0.931105879541109
Instance 8,0.9455628621089225
Instance 9,0.9392813688212927
Instance 10,0.9330410002907822
Instance 11,0.9278530805687203
Instance 12,0.9255488653555219
Instance 13,0.9276001197246334
Instance 14,0.9308892517814727
Instance 15,0.9339918699186992
Instance 16,0.9373463687150838
Instance 17,0.9361084905660377
Instance 18,0.9341796781883195
Instance 19,0.9346407185628743
Instance 20,0.9302469733656176
Instance 21,0.9275098280098281
Instance 22,0.9234339092004823
Instance 23,0.9261782178217822
Instance 24,0.9123888213851763
Instance 25,0.9182889305816135
Instance 26,0.9252564575645758
Instance 27,0.9293862815884477
Instance 28,0.9298526812021214
Instance 29,0.9424209774221206
Instance 30,0.9393456221198158
Instance 31,0.9374956344586729
Instance 32,0.9373463687150838
Instance 33,0.938605786618445
Instance 34,0.9423716814159292
Instance 35,0.9425664739884394
Instance 36,0.9364592009003938
Instance 37,0.9361469575200918
Instance 38,0.9323534583821805
Instance 39,0.9123888213851763
Instance 40,0.952
All Method BMA Weighted Prediction,0.934851902706944
