Instance,BMA Weighted Prediction
Instance 1,0.7949238917222443
Instance 2,0.8576952491309386
Instance 3,0.7790136953955135
Instance 4,0.8053904717421766
Instance 5,0.7842103407755582
Instance 6,0.7711569092201944
Instance 7,0.770440726577438
Instance 8,0.8538690614136732
Instance 9,0.788324948815443
Instance 10,0.7947004943297471
Instance 11,0.7517191943127962
Instance 12,0.7335894099848715
Instance 13,0.7506186770428017
Instance 14,0.7778159144893113
Instance 15,0.7437895212285456
Instance 16,0.8444448691561306
Instance 17,0.7616202830188679
Instance 18,0.7449678188319426
Instance 19,0.7450239520958084
Instance 20,0.7079975786924939
Instance 21,0.6843218673218672
Instance 22,0.7314877460827642
Instance 23,0.754050297029703
Instance 24,0.671303766707169
Instance 25,0.5975028142589117
Instance 26,0.656380073800738
Instance 27,0.6922851985559568
Instance 28,0.6956776664702417
Instance 29,0.8851428979708488
Instance 30,0.8598064516129033
Instance 31,0.8445704307334109
Instance 32,0.8444448691561306
Instance 33,0.7953869801084992
Instance 34,0.8276407079646019
Instance 35,0.8282300578034681
Instance 36,0.8904879009566685
Instance 37,0.8911653272101033
Instance 38,0.8611406799531067
Instance 39,0.671303766707169
Instance 40,0.9079804796430563
All Method BMA Weighted Prediction,0.794923891722244
