Instance,BMA Weighted Prediction
Instance 1,0.8031251471165164
Instance 2,0.8091360370799537
Instance 3,0.7905164108618654
Instance 4,0.8410714619336759
Instance 5,0.8134521739130435
Instance 6,0.7871087935529748
Instance 7,0.776501434034417
Instance 8,0.7951700463499422
Instance 9,0.8350315881836795
Instance 10,0.8631506251817389
Instance 11,0.7961252962085308
Instance 12,0.7489748865355523
Instance 13,0.7829359473211613
Instance 14,0.8182951306413302
Instance 15,0.7535040650406504
Instance 16,0.7779982358129962
Instance 17,0.8003372641509434
Instance 18,0.7670789630512515
Instance 19,0.8022047904191618
Instance 20,0.7543559322033899
Instance 21,0.7079717444717445
Instance 22,0.7965038167938933
Instance 23,0.8407623762376237
Instance 24,0.8198086269744836
Instance 25,0.6852870544090056
Instance 26,0.7601494464944651
Instance 27,0.8281768953068592
Instance 28,0.8534826163818503
Instance 29,0.8569757073449557
Instance 30,0.8232514400921659
Instance 31,0.7910075669383003
Instance 32,0.7779982358129962
Instance 33,0.6786962025316458
Instance 34,0.747129203539823
Instance 35,0.7735919075144508
Instance 36,0.8958610016882385
Instance 37,0.872568886337543
Instance 38,0.8086682297772568
Instance 39,0.8198086269744836
Instance 40,0.9029392080312325
All Method BMA Weighted Prediction,0.8031251471165163
