Instance,BMA Weighted Prediction
Instance 1,0.9297102785406044
Instance 2,0.9312908458864428
Instance 3,0.9219076741440376
Instance 4,0.9340380663241475
Instance 5,0.9342096357226792
Instance 6,0.9294415738326618
Instance 7,0.9272440248565966
Instance 8,0.9221135573580533
Instance 9,0.9254656332260894
Instance 10,0.9406658912474556
Instance 11,0.9350453199052132
Instance 12,0.9262450832072617
Instance 13,0.9323519904220293
Instance 14,0.9321487529691211
Instance 15,0.9166531165311652
Instance 16,0.9286815642458102
Instance 17,0.9256126179245283
Instance 18,0.9195262216924909
Instance 19,0.9197976047904192
Instance 20,0.9199370460048427
Instance 21,0.9114889434889434
Instance 22,0.9325544395339493
Instance 23,0.9405449504950495
Instance 24,0.9456421628189551
Instance 25,0.9138555347091932
Instance 26,0.9137416974169742
Instance 27,0.92628880866426
Instance 28,0.9317719505008839
Instance 29,0.9369557016290367
Instance 30,0.9371886520737327
Instance 31,0.9313652502910361
Instance 32,0.9286815642458102
Instance 33,0.9070000000000001
Instance 34,0.919446017699115
Instance 35,0.9249630057803467
Instance 36,0.9541125492402925
Instance 37,0.9493300803673937
Instance 38,0.9378575615474795
Instance 39,0.9456421628189551
Instance 40,0.9360976017847182
All Method BMA Weighted Prediction,0.9297102785406042
