Instance,BMA Weighted Prediction
Instance 1,0.6366543742644175
Instance 2,0.6115501738122828
Instance 3,0.6023492325855963
Instance 4,0.6651732835123774
Instance 5,0.6595678025851939
Instance 6,0.6645003555344869
Instance 7,0.6166998087954112
Instance 8,0.5631877172653534
Instance 9,0.6298792044457444
Instance 10,0.7005143937191044
Instance 11,0.7003329383886255
Instance 12,0.6469394856278367
Instance 13,0.6408467524693205
Instance 14,0.6481235154394299
Instance 15,0.5677678410117435
Instance 16,0.5802549250220523
Instance 17,0.6225666273584907
Instance 18,0.6283706793802146
Instance 19,0.5940778443113773
Instance 20,0.583677966101695
Instance 21,0.5910810810810811
Instance 22,0.699374447569305
Instance 23,0.6905651485148515
Instance 24,0.7907290400972055
Instance 25,0.6280281425891183
Instance 26,0.6433136531365315
Instance 27,0.6311444043321299
Instance 28,0.7496859163229227
Instance 29,0.6405964561303229
Instance 30,0.6335357142857143
Instance 31,0.6393195576251456
Instance 32,0.5802549250220523
Instance 33,0.5042766726943942
Instance 34,0.49529734513274337
Instance 35,0.6143260115606937
Instance 36,0.7653950478334272
Instance 37,0.6526130884041333
Instance 38,0.6646647127784291
Instance 39,0.7907290400972055
Instance 40,0.6176960401561628
All Method BMA Weighted Prediction,0.6366543742644175
