Instance,BMA Weighted Prediction
Instance 1,0.9158330717928602
Instance 2,0.9657042873696409
Instance 3,0.9143726092089728
Instance 4,0.9041767865483419
Instance 5,0.9052996474735606
Instance 6,0.9032977008769852
Instance 7,0.9011603728489486
Instance 8,0.9763803592120509
Instance 9,0.8994255630301257
Instance 10,0.8882867112532713
Instance 11,0.8868915876777252
Instance 12,0.8812559757942512
Instance 13,0.8840431008680038
Instance 14,0.8827859263657958
Instance 15,0.8954850948509484
Instance 16,0.961056159952955
Instance 17,0.9007962853773586
Instance 18,0.8982312276519665
Instance 19,0.8689317365269461
Instance 20,0.8704757869249397
Instance 21,0.8665036855036854
Instance 22,0.8498670148654078
Instance 23,0.8540023762376239
Instance 24,0.7888529769137304
Instance 25,0.812467166979362
Instance 26,0.811051660516605
Instance 27,0.8181750902527076
Instance 28,0.8252003535651148
Instance 29,0.9630700200057158
Instance 30,0.9649040898617511
Instance 31,0.9630704307334108
Instance 32,0.961056159952955
Instance 33,0.9729349005424955
Instance 34,0.9764814159292036
Instance 35,0.9801699421965319
Instance 36,0.9538610016882385
Instance 37,0.9497433983926522
Instance 38,0.9457303634232122
Instance 39,0.7888529769137304
Instance 40,0.9795683212493027
All Method BMA Weighted Prediction,0.91583307179286
