Instance,BMA Weighted Prediction
Instance 1,0.8858348371910555
Instance 2,0.909213209733488
Instance 3,0.8851898465171192
Instance 4,0.8899957963568426
Instance 5,0.8877833137485311
Instance 6,0.8783000711068976
Instance 7,0.8637351816443596
Instance 8,0.9142665121668598
Instance 9,0.8902471482889733
Instance 10,0.8934265774934573
Instance 11,0.8788744075829384
Instance 12,0.8482390317700454
Instance 13,0.8606405267883868
Instance 14,0.8636710213776723
Instance 15,0.8571698283649503
Instance 16,0.8883084386945017
Instance 17,0.8874737617924527
Instance 18,0.8755485697258641
Instance 19,0.8549449101796408
Instance 20,0.8507639225181599
Instance 21,0.8338341523341524
Instance 22,0.8430719164323023
Instance 23,0.8595548514851485
Instance 24,0.8262077764277036
Instance 25,0.8116041275797373
Instance 26,0.8186955719557196
Instance 27,0.8442653429602889
Instance 28,0.8808774307601649
Instance 29,0.9197573592454987
Instance 30,0.917277361751152
Instance 31,0.9059420838183934
Instance 32,0.8883084386945017
Instance 33,0.8700976491862569
Instance 34,0.8940778761061947
Instance 35,0.9289838150289018
Instance 36,0.9394063027574563
Instance 37,0.9056515499425947
Instance 38,0.8825762016412662
Instance 39,0.8262077764277036
Instance 40,0.9551344116006691
All Method BMA Weighted Prediction,0.8858348371910553
