Instance,BMA Weighted Prediction
Instance 1,0.7446735974892117
Instance 2,0.7342711471610661
Instance 3,0.7770077922077923
Instance 4,0.7491849602989258
Instance 5,0.7378728554641599
Instance 6,0.7366885517895237
Instance 7,0.7330243785850862
Instance 8,0.7713389339513326
Instance 9,0.7903749634396023
Instance 10,0.7418764175632452
Instance 11,0.7261232227488152
Instance 12,0.7197328290468987
Instance 13,0.7214238252020354
Instance 14,0.735937648456057
Instance 15,0.7712303523035231
Instance 16,0.7171443693031462
Instance 17,0.7765126768867925
Instance 18,0.7754383194278903
Instance 19,0.7875928143712576
Instance 20,0.7685871670702179
Instance 21,0.7669938574938575
Instance 22,0.7193173965447971
Instance 23,0.7215607920792081
Instance 24,0.6887509113001217
Instance 25,0.7606641651031895
Instance 26,0.7900756457564577
Instance 27,0.7919512635379061
Instance 28,0.7998456098998231
Instance 29,0.7373661046013147
Instance 30,0.7234110023041475
Instance 31,0.7218052968568102
Instance 32,0.7171443693031462
Instance 33,0.7504719710669078
Instance 34,0.7531522123893807
Instance 35,0.7616809248554914
Instance 36,0.6950422059651097
Instance 37,0.6854047072330655
Instance 38,0.6813686987104338
Instance 39,0.6887509113001217
Instance 40,0.7906464026770774
All Method BMA Weighted Prediction,0.7446735974892115
