Instance,BMA Weighted Prediction
Instance 1,0.716226412649041
Instance 2,0.7075138586562182
Instance 3,0.7360919808087731
Instance 4,0.7218304921638713
Instance 5,0.7339876901798064
Instance 6,0.7278049729129046
Instance 7,0.7226626797664816
Instance 8,0.717510543038706
Instance 9,0.7068724920034894
Instance 10,0.7026366152053598
Instance 11,0.6910925457521202
Instance 12,0.7067588569762356
Instance 13,0.7293455950540958
Instance 14,0.7433216109732963
Instance 15,0.7411495285798467
Instance 16,0.7477723819454788
Instance 17,0.7359860129111588
Instance 18,0.7249077194671802
Instance 19,0.7071161682550114
Instance 20,0.6900744857332449
Instance 21,0.6715607221938341
Instance 22,0.6763453274215553
Instance 23,0.7411495285798467
Instance 24,0.7359860129111588
Instance 25,0.7071161682550114
Instance 26,0.6715607221938341
Instance 27,0.7293455950540958
Instance 28,0.7370700066357
Instance 29,0.7655585047903251
Instance 30,0.7564962525912933
Instance 31,0.7589124584717606
Instance 32,0.7402808890444522
Instance 33,0.7143270906730947
Instance 34,0.6878168449197862
Instance 35,0.6513409497317704
Instance 36,0.6509750698045473
Instance 37,0.7345292637933926
Instance 38,0.7270288267026298
Instance 39,0.7207308895066017
Instance 40,0.7143910199752518
Instance 41,0.7013252539654251
Instance 42,0.6961189498124665
Instance 43,0.6817198386505317
Instance 44,0.7011670243204577
Instance 45,0.7586881313131313
Instance 46,0.7558463080521216
Instance 47,0.7438252525252526
Instance 48,0.738993927125506
Instance 49,0.7264890195400311
Instance 50,0.7438121938861679
Instance 51,0.7380163620539599
Instance 52,0.7504798623063682
Instance 53,0.7380489243580847
Instance 54,0.733057719054242
Instance 55,0.7200067772427323
Instance 56,0.7380163620539599
Instance 57,0.7320206531332745
Instance 58,0.7269292411109145
Instance 59,0.770488201938906
Instance 60,0.7588177352637021
All Method BMA Weighted Prediction,0.7162264126490411
