Instance,BMA Weighted Prediction
Instance 1,0.8420973069483708
Instance 2,0.8311967435549525
Instance 3,0.8527290476190478
Instance 4,0.8525927695492913
Instance 5,0.8518482758620691
Instance 6,0.8556887491940685
Instance 7,0.840269077637691
Instance 8,0.8323589138134594
Instance 9,0.8302882882882884
Instance 10,0.8295155850792029
Instance 11,0.8420973069483708
Instance 12,0.8418192360163711
Instance 13,0.8425923287671233
Instance 14,0.864780983270741
Instance 15,0.8639682375280512
Instance 16,0.8674765652325989
Instance 17,0.8553981128651788
Instance 18,0.8289652406417114
Instance 19,0.8171098016106856
Instance 20,0.8136173256507054
Instance 21,0.8295155850792029
Instance 22,0.8418192360163711
Instance 23,0.8639682375280512
Instance 24,0.8553981128651788
Instance 25,0.8171098016106856
Instance 26,0.8295155850792029
Instance 27,0.8425923287671233
Instance 28,0.8557295847407114
Instance 29,0.8781505956813106
Instance 30,0.8820934420015164
Instance 31,0.8687834825870647
Instance 32,0.8453949989404534
Instance 33,0.8106666666666668
Instance 34,0.7946842725772224
Instance 35,0.8136173256507054
Instance 36,0.8270398883127243
Instance 37,0.8546634460547505
Instance 38,0.8595071906015799
Instance 39,0.8401251837849191
Instance 40,0.8300622050622051
Instance 41,0.8274003466204507
Instance 42,0.8264074717636838
Instance 43,0.8423964063072974
Instance 44,0.8420974548618666
Instance 45,0.8827642763527429
Instance 46,0.8608435183329995
Instance 47,0.8586450960566231
Instance 48,0.8577944455706468
Instance 49,0.8682604184679233
Instance 50,0.872481120584653
Instance 51,0.8535349473684211
Instance 52,0.8417277258566978
Instance 53,0.8392637869574335
Instance 54,0.8383327727559385
Instance 55,0.8520775815944356
Instance 56,0.8535349473684211
Instance 57,0.8291997858672377
Instance 58,0.828223057106054
Instance 59,0.8751538461538461
Instance 60,0.863135050469892
All Method BMA Weighted Prediction,0.8624593053395542
