Instance,BMA Weighted Prediction
Instance 1,0.8632356143079316
Instance 2,0.8565594253373967
Instance 3,0.8712132967786156
Instance 4,0.8803247181743196
Instance 5,0.87649377593361
Instance 6,0.8740966800944576
Instance 7,0.8638509184109356
Instance 8,0.8594878682842289
Instance 9,0.8574161093341088
Instance 10,0.8569510632100203
Instance 11,0.8434326737092694
Instance 12,0.8526447003936435
Instance 13,0.8651199381761978
Instance 14,0.8898667736757625
Instance 15,0.8956697112551562
Instance 16,0.8891622225532549
Instance 17,0.8759177682139564
Instance 18,0.8597645642753973
Instance 19,0.852395004929346
Instance 20,0.849437292634373
Instance 21,0.833215976835292
Instance 22,0.8281505798090041
Instance 23,0.8956697112551562
Instance 24,0.8759177682139564
Instance 25,0.852395004929346
Instance 26,0.833215976835292
Instance 27,0.8651199381761978
Instance 28,0.8858795620437955
Instance 29,0.906954766766138
Instance 30,0.9108119917078615
Instance 31,0.8928646179401993
Instance 32,0.8731342317115856
Instance 33,0.8518032634897089
Instance 34,0.8423941940412529
Instance 35,0.8202648519769521
Instance 36,0.8135969285999202
Instance 37,0.8924418916652691
Instance 38,0.889616149696561
Instance 39,0.8775896455872133
Instance 40,0.8724898356019091
Instance 41,0.8700568526109429
Instance 42,0.8695136631541347
Instance 43,0.8531888522185553
Instance 44,0.8642473175965666
Instance 45,0.9043802083333333
Instance 46,0.8816847644503844
Instance 47,0.8794577441077441
Instance 48,0.8789637314439946
Instance 49,0.863804599688743
Instance 50,0.8740011822327312
Instance 51,0.8614732811140122
Instance 52,0.8695297762478486
Instance 53,0.8671377515614156
Instance 54,0.8666029207232266
Instance 55,0.8506482967718922
Instance 56,0.8614732811140122
Instance 57,0.8618624889673433
Instance 58,0.8613070935786308
Instance 59,0.8973012621181635
Instance 60,0.8985555842812822
All Method BMA Weighted Prediction,0.8632356143079317
