Instance,BMA Weighted Prediction
Instance 1,0.6948015811301191
Instance 2,0.680052096938035
Instance 3,0.7198366004112406
Instance 4,0.7173331042067639
Instance 5,0.724028907330567
Instance 6,0.7198509515210446
Instance 7,0.7018866581233091
Instance 8,0.6802520219526286
Instance 9,0.6852740622273916
Instance 10,0.6749692688610544
Instance 11,0.6502111292962357
Instance 12,0.6825321475433737
Instance 13,0.707319629057187
Instance 14,0.7453669925580038
Instance 15,0.7500767530936947
Instance 16,0.7531427081781618
Instance 17,0.7301672302490009
Instance 18,0.6866194832290162
Instance 19,0.6674812684850476
Instance 20,0.6613412408759123
Instance 21,0.6205619144949752
Instance 22,0.6293431105047749
Instance 23,0.7500767530936947
Instance 24,0.7301672302490009
Instance 25,0.6674812684850476
Instance 26,0.6205619144949752
Instance 27,0.707319629057187
Instance 28,0.7354263437292634
Instance 29,0.782415580336108
Instance 30,0.783390049433902
Instance 31,0.7681242524916942
Instance 32,0.7174385719285964
Instance 33,0.6731971073613944
Instance 34,0.6370399159663866
Instance 35,0.5951808066759388
Instance 36,0.591088552054248
Instance 37,0.7406793560288445
Instance 38,0.7356960552933244
Instance 39,0.7142619874913133
Instance 40,0.6879984090507335
Instance 41,0.6942179647121726
Instance 42,0.6816004643686372
Instance 43,0.6512671433810048
Instance 44,0.6908851931330473
Instance 45,0.7779542297979798
Instance 46,0.7386070831941196
Instance 47,0.7448740740740741
Instance 48,0.733059379217274
Instance 49,0.705742002420889
Instance 50,0.7418890390136803
Instance 51,0.7206036553524804
Instance 52,0.717460413080895
Instance 53,0.7237499999999999
Instance 54,0.711529728789986
Instance 55,0.6827981095059746
Instance 56,0.7206036553524804
Instance 57,0.6976893203883494
Instance 58,0.6851997169644435
Instance 59,0.7812540698737881
Instance 60,0.7560147362978283
All Method BMA Weighted Prediction,0.6948015811301193
