Instance,BMA Weighted Prediction
Instance 1,0.6772690513219284
Instance 2,0.6689207662168045
Instance 3,0.6977141877998629
Instance 4,0.7158100082485565
Instance 5,0.692209958506224
Instance 6,0.7039319349909711
Instance 7,0.6931824006834686
Instance 8,0.6829046793760832
Instance 9,0.6547618493748183
Instance 10,0.6597229828138654
Instance 11,0.6300830233596191
Instance 12,0.6436923749817757
Instance 13,0.6914296754250387
Instance 14,0.7399414854808114
Instance 15,0.7344832056570418
Instance 16,0.7219538209444362
Instance 17,0.7239498924070089
Instance 18,0.7014675012036591
Instance 19,0.6582444955635885
Instance 20,0.6316028533510285
Instance 21,0.6027317322432293
Instance 22,0.5839130286493861
Instance 23,0.7344832056570418
Instance 24,0.7239498924070089
Instance 25,0.6582444955635885
Instance 26,0.6027317322432293
Instance 27,0.6914296754250387
Instance 28,0.7389754479097544
Instance 29,0.7616913774147951
Instance 30,0.7698086429596556
Instance 31,0.7456624584717608
Instance 32,0.7372492124606229
Instance 33,0.6765229000556278
Instance 34,0.6321478227654699
Instance 35,0.5595632823365786
Instance 36,0.5440598324690865
Instance 37,0.7327514673821902
Instance 38,0.7471889750505732
Instance 39,0.7353959346768589
Instance 40,0.7235550645218313
Instance 41,0.689390661201212
Instance 42,0.695548669405251
Instance 43,0.6599756142280895
Instance 44,0.6759307939914163
Instance 45,0.7753499053030303
Instance 46,0.7407696291346475
Instance 47,0.7086308080808082
Instance 48,0.7144859986504724
Instance 49,0.681411551098046
Instance 50,0.6959805776051343
Instance 51,0.6825961705831158
Instance 52,0.7288917383820999
Instance 53,0.6956767869535044
Instance 54,0.7016841098748261
Instance 55,0.6672404137685036
Instance 56,0.6825961705831158
Instance 57,0.6831585172109443
Instance 58,0.6892444719617902
Instance 59,0.7488966526431314
Instance 60,0.7356362461220268
All Method BMA Weighted Prediction,0.6772690513219285
