Instance,BMA Weighted Prediction
Instance 1,0.892681052358735
Instance 2,0.887734291104339
Instance 3,0.9036854009595613
Instance 4,0.9155090734121527
Instance 5,0.8985749654218533
Instance 6,0.8972543408806778
Instance 7,0.8915641463761925
Instance 8,0.8865821779318313
Instance 9,0.8852100901424832
Instance 10,0.8849660646664723
Instance 11,0.8770892724296979
Instance 12,0.8885180055401661
Instance 13,0.8998199381761978
Instance 14,0.9286255654457902
Instance 15,0.9234211844431348
Instance 16,0.9039332638164753
Instance 17,0.8965358130956039
Instance 18,0.8846450008024394
Instance 19,0.8772992113046335
Instance 20,0.8753691108161911
Instance 21,0.8658094021461419
Instance 22,0.8699411664392905
Instance 23,0.9234211844431348
Instance 24,0.8965358130956039
Instance 25,0.8772992113046335
Instance 26,0.8658094021461419
Instance 27,0.8998199381761978
Instance 28,0.9278900132714
Instance 29,0.9380620386367206
Instance 30,0.9312055493541699
Instance 31,0.9039255813953486
Instance 32,0.8896797339866992
Instance 33,0.8738681624327833
Instance 34,0.8646854469060351
Instance 35,0.8511255712298827
Instance 36,0.8555215396888711
Instance 37,0.9219575716921012
Instance 38,0.9204770734996627
Instance 39,0.9142444405837387
Instance 40,0.9085435743326851
Instance 41,0.9070417037961147
Instance 42,0.9067892480800143
Instance 43,0.8976628162816281
Instance 44,0.9111732832618026
Instance 45,0.9367547348484847
Instance 46,0.9045372535917139
Instance 47,0.903087542087542
Instance 48,0.9028410931174089
Instance 49,0.8941348780909564
Instance 50,0.9069768620165514
Instance 51,0.9003187119234116
Instance 52,0.8978796901893286
Instance 53,0.8963325815405966
Instance 54,0.8960644993045895
Instance 55,0.8869097556625646
Instance 56,0.9003187119234116
Instance 57,0.8903267431597528
Instance 58,0.8900412170528922
Instance 59,0.914946405706969
Instance 60,0.9353870217166492
All Method BMA Weighted Prediction,0.8926810523587351
