Instance,BMA Weighted Prediction
Instance 1,0.670293934681182
Instance 2,0.6588358728776665
Instance 3,0.6922409869773818
Instance 4,0.6871435248831456
Instance 5,0.689941908713693
Instance 6,0.6946605084039451
Instance 7,0.6828547629218283
Instance 8,0.6711282495667246
Instance 9,0.6571712707182321
Instance 10,0.656093504223711
Instance 11,0.6231115905371225
Instance 12,0.654212713223502
Instance 13,0.682835857805255
Instance 14,0.7115412228221216
Instance 15,0.7092772539776075
Instance 16,0.7175857291821839
Instance 17,0.7108149400553335
Instance 18,0.6853784304285027
Instance 19,0.6564127505750904
Instance 20,0.6391463171864632
Instance 21,0.599673479816045
Instance 22,0.5974062073669851
Instance 23,0.7092772539776075
Instance 24,0.7108149400553335
Instance 25,0.6564127505750904
Instance 26,0.599673479816045
Instance 27,0.682835857805255
Instance 28,0.7040879230258792
Instance 29,0.7370007852991991
Instance 30,0.7404635624302345
Instance 31,0.7376833887043188
Instance 32,0.7174424221211061
Instance 33,0.6709862785091787
Instance 34,0.6355381970970206
Instance 35,0.5699819193324062
Instance 36,0.5656043079377743
Instance 37,0.7014294818044607
Instance 38,0.7072159474039109
Instance 39,0.6931954482279361
Instance 40,0.6790235106947146
Instance 41,0.6619796827659955
Instance 42,0.6606683336310055
Instance 43,0.6201461312797947
Instance 44,0.6583671316165952
Instance 45,0.7425923295454545
Instance 46,0.7273095556298029
Instance 47,0.7115836700336701
Instance 48,0.7104455128205128
Instance 49,0.6734767421753416
Instance 50,0.7083310251646683
Instance 51,0.6943178416013925
Instance 52,0.7140280550774526
Instance 53,0.6977159958362248
Instance 54,0.6965140820584144
Instance 55,0.6580246120920278
Instance 56,0.6943178416013925
Instance 57,0.6836430714916152
Instance 58,0.6823902352733062
Instance 59,0.7432070605450887
Instance 60,0.7278684074457084
All Method BMA Weighted Prediction,0.670293934681182
