Instance,BMA Weighted Prediction
Instance 1,0.8041727579056507
Instance 2,0.7918621390219126
Instance 3,0.823515832762166
Instance 4,0.8334716799560077
Instance 5,0.8272408022130014
Instance 6,0.8229290179191555
Instance 7,0.8051765627224834
Instance 8,0.7937835066435587
Instance 9,0.7905479790636813
Instance 10,0.7878527526944363
Instance 11,0.7756259485195656
Instance 12,0.7883262866307043
Instance 13,0.8128706336939723
Instance 14,0.8558622501094412
Instance 15,0.8601395109015911
Instance 16,0.8491315358260092
Instance 17,0.8260104518905625
Instance 18,0.793759428663136
Instance 19,0.7769551429510352
Instance 20,0.7700379893828798
Instance 21,0.7524070856753534
Instance 22,0.752918656207367
Instance 23,0.8601395109015911
Instance 24,0.8260104518905625
Instance 25,0.7769551429510352
Instance 26,0.7524070856753534
Instance 27,0.8128706336939723
Instance 28,0.8488634704711346
Instance 29,0.8860025129574368
Instance 30,0.8862854409185139
Instance 31,0.8554780730897009
Instance 32,0.81644802240112
Instance 33,0.7747648804005193
Instance 34,0.7511361726508786
Instance 35,0.7251686866679913
Instance 36,0.7218817311527722
Instance 37,0.8536562133154453
Instance 38,0.8485615306810519
Instance 39,0.8276851980542043
Instance 40,0.81413434682694
Instance 41,0.8103350561397256
Instance 42,0.8070723343454187
Instance 43,0.7925161349468279
Instance 44,0.807677217453505
Instance 45,0.8813909406565656
Instance 46,0.8382854994988307
Instance 47,0.8348836700336701
Instance 48,0.8318517206477734
Instance 49,0.8187449420715892
Instance 50,0.8324522884647865
Instance 51,0.8110424717145344
Instance 52,0.8172919104991393
Instance 53,0.81361866759195
Instance 54,0.8104495827538246
Instance 55,0.7963779204565721
Instance 56,0.8110424717145344
Instance 57,0.7998411297440423
Instance 58,0.7965872987794091
Instance 59,0.869671849277483
Instance 60,0.8632034643226473
All Method BMA Weighted Prediction,0.8041727579056506
