Instance,BMA Weighted Prediction
Instance 1,0.7591389320891653
Instance 2,0.7465848207807284
Instance 3,0.8012758053461275
Instance 4,0.76929502337091
Instance 5,0.7919515905947441
Instance 6,0.7743019863869982
Instance 7,0.7643824576391856
Instance 8,0.7460005777007511
Instance 9,0.7418548996801396
Instance 10,0.7414529565977279
Instance 11,0.7243692902841838
Instance 12,0.7426635077999707
Instance 13,0.7932777434312211
Instance 14,0.8147735298409456
Instance 15,0.8049714201532115
Instance 16,0.8107394607478028
Instance 17,0.7815773132493082
Instance 18,0.7504493660728615
Instance 19,0.724658232007887
Instance 20,0.7192730590577306
Instance 21,0.6986520183955032
Instance 22,0.7000168826739427
Instance 23,0.8049714201532115
Instance 24,0.7815773132493082
Instance 25,0.724658232007887
Instance 26,0.6986520183955032
Instance 27,0.7932777434312211
Instance 28,0.8080363304578632
Instance 29,0.8562803518140412
Instance 30,0.8261569127730825
Instance 31,0.8227966777408638
Instance 32,0.7687668883444172
Instance 33,0.7270558130910441
Instance 34,0.6958689839572194
Instance 35,0.664960858334989
Instance 36,0.6657756282409254
Instance 37,0.7968046285426799
Instance 38,0.7754106540795684
Instance 39,0.7633415566365532
Instance 40,0.7408244652642744
Instance 41,0.7357002316877562
Instance 42,0.7351941418110377
Instance 43,0.7139754308764209
Instance 44,0.7366711373390559
Instance 45,0.8365415088383839
Instance 46,0.8135287337119946
Instance 47,0.8092513468013469
Instance 48,0.8089222334682861
Instance 49,0.7907592944838321
Instance 50,0.8104043235939875
Instance 51,0.7993841601392515
Instance 52,0.8027265060240965
Instance 53,0.7982323039555864
Instance 54,0.7978701321279554
Instance 55,0.7788512573568753
Instance 56,0.7993841601392515
Instance 57,0.7763567519858783
Instance 58,0.7759418008137271
Instance 59,0.8629019571977318
Instance 60,0.8349126163391933
All Method BMA Weighted Prediction,0.7591389320891655
