Instance,BMA Weighted Prediction
Instance 1,0.501040435458787
Instance 2,0.4956578145407053
Instance 3,0.518182864976011
Instance 4,0.5132565301072313
Instance 5,0.5282
Instance 6,0.5243115710515349
Instance 7,0.5187073900042717
Instance 8,0.50173136915078
Instance 9,0.49848676940971215
Instance 10,0.49609350422371096
Instance 11,0.4290973069483707
Instance 12,0.4814290712931914
Instance 13,0.514635857805255
Instance 14,0.5322550707719247
Instance 15,0.5430592221567472
Instance 16,0.5552475793237003
Instance 17,0.5458612050415002
Instance 18,0.5217207510832933
Instance 19,0.4989405192244496
Instance 20,0.4924920371599203
Instance 21,0.41289609947198086
Instance 22,0.39564409959072305
Instance 23,0.5430592221567472
Instance 24,0.5458612050415002
Instance 25,0.4989405192244496
Instance 26,0.41289609947198086
Instance 27,0.514635857805255
Instance 28,0.5303739216987392
Instance 29,0.5654785613318675
Instance 30,0.5732382395152288
Instance 31,0.582098172757475
Instance 32,0.5529109205460273
Instance 33,0.5216773595401446
Instance 34,0.4921126814362109
Instance 35,0.3947301808066759
Instance 36,0.371002592740327
Instance 37,0.5426523561965454
Instance 38,0.538008934592043
Instance 39,0.5315899930507296
Instance 40,0.51103729892169
Instance 41,0.5071363393334521
Instance 42,0.5042200392927307
Instance 43,0.4218762376237624
Instance 44,0.4862432045779685
Instance 45,0.5612428977272726
Instance 46,0.5507175075175409
Instance 47,0.5473398989898991
Instance 48,0.5446668353576248
Instance 49,0.4680217879993084
Instance 50,0.5277366998817767
Instance 51,0.520990774586597
Instance 52,0.5447432013769363
Instance 53,0.5412147814018043
Instance 54,0.5384471488178024
Instance 55,0.45923542001070083
Instance 56,0.520990774586597
Instance 57,0.5208593115622242
Instance 58,0.5179999999999999
Instance 59,0.5836917870861533
Instance 60,0.5647895553257496
All Method BMA Weighted Prediction,0.501040435458787
