Instance,BMA Weighted Prediction
Instance 1,0.5326321690383787
Instance 2,0.5299977900552486
Instance 3,0.5378725438130643
Instance 4,0.5322991957104558
Instance 5,0.5308090371167294
Instance 6,0.5320462614308769
Instance 7,0.5363435225618631
Instance 8,0.5297779359430606
Instance 9,0.5391028691392582
Instance 10,0.5297779359430606
Instance 11,0.5294310221586848
Instance 12,0.5375
Instance 13,0.5345032822757112
Instance 14,0.5386769865841073
Instance 15,0.5228348214285714
Instance 16,0.5222426966292134
Instance 17,0.5410505675954592
Instance 18,0.5272359788359788
Instance 19,0.5370196936542669
Instance 20,0.5254017857142858
All Method BMA Weighted Prediction,0.5326321690383786
