Instance,BMA Weighted Prediction
Instance 1,0.4755493747304873
Instance 2,0.463892817679558
Instance 3,0.4849383961763144
Instance 4,0.47957801608579087
Instance 5,0.4756853146853147
Instance 6,0.47321086605701995
Instance 7,0.47306113537117894
Instance 8,0.4810768683274021
Instance 9,0.49317914625612314
Instance 10,0.4810768683274021
Instance 11,0.4726225875625447
Instance 12,0.48
Instance 13,0.47208533916849016
Instance 14,0.5018090815273478
Instance 15,0.46066964285714285
Instance 16,0.4472426966292135
Instance 17,0.4970619195046439
Instance 18,0.47916719576719574
Instance 19,0.4670525164113785
Instance 20,0.45553571428571427
All Method BMA Weighted Prediction,0.4755493747304873
