Instance,BMA Weighted Prediction
Instance 1,0.6976985769728331
Instance 2,0.6872088397790054
Instance 3,0.7041120552310143
Instance 4,0.6990857908847186
Instance 5,0.699603550295858
Instance 6,0.6981188811188811
Instance 7,0.692669577874818
Instance 8,0.7020604982206405
Instance 9,0.70796011196641
Instance 10,0.7020604982206405
Instance 11,0.7007884203002144
Instance 12,0.693
Instance 13,0.6940131291028446
Instance 14,0.716486068111455
Instance 15,0.6833482142857142
Instance 16,0.6812224719101123
Instance 17,0.7136377708978328
Instance 18,0.7050105820105819
Instance 19,0.6909934354485777
Instance 20,0.6802678571428572
All Method BMA Weighted Prediction,0.6976985769728331
