Instance,BMA Weighted Prediction
Instance 1,0.1539982751185856
Instance 2,0.12925082872928176
Instance 3,0.15978651088688262
Instance 4,0.15984021447721178
Instance 5,0.15845185583647123
Instance 6,0.16191608391608392
Instance 7,0.12933042212518195
Instance 8,0.1676455516014235
Instance 9,0.16924982505248426
Instance 10,0.1676455516014235
Instance 11,0.1704374553252323
Instance 12,0.129
Instance 13,0.12597374179431073
Instance 14,0.1850340557275542
Instance 15,0.12540625
Instance 16,0.12951011235955057
Instance 17,0.19168008255933952
Instance 18,0.18986455026455026
Instance 19,0.13301969365426697
Instance 20,0.13259375
All Method BMA Weighted Prediction,0.1539982751185856
