Instance,BMA Weighted Prediction
Instance 1,0.8907413220088626
Instance 2,0.8797231176860235
Instance 3,0.9024882761208031
Instance 4,0.9005177857713831
Instance 5,0.8808450828729282
Instance 6,0.8793149501661128
Instance 7,0.9082715745647235
Instance 8,0.8978513354281225
Instance 9,0.8798897724762536
Instance 10,0.9103210513387373
Instance 11,0.8936039603960398
Instance 12,0.9073162859980137
Instance 13,0.9075233311730394
Instance 14,0.933393148109463
Instance 15,0.8780500310752021
Instance 16,0.8641490066225166
Instance 17,0.8896112385321102
Instance 18,0.9167159274193546
Instance 19,0.8732376058041111
Instance 20,0.8805012658227849
Instance 21,0.8518129558129558
Instance 22,0.9148601675197766
Instance 23,0.9150233844606486
Instance 24,0.890156018254421
Instance 25,0.9185162162162162
Instance 26,0.8372988673730362
Instance 27,0.8601454887218047
Instance 28,0.9060297619047618
Instance 29,0.8780500310752021
Instance 30,0.8641490066225166
Instance 31,0.8896112385321102
Instance 32,0.9167159274193546
Instance 33,0.9103210513387373
Instance 34,0.8732376058041111
Instance 35,0.901675692695214
Instance 36,0.8852340519137705
Instance 37,0.8961098376313276
Instance 38,0.8850822959889348
Instance 39,0.9037308690012971
Instance 40,0.8600215322984476
Instance 41,0.9044767441860464
Instance 42,0.8487113313227057
Instance 43,0.8960525980235895
Instance 44,0.9171294498381877
Instance 45,0.8955357028498239
Instance 46,0.8915054432348366
Instance 47,0.8901544917625115
Instance 48,0.8955357028498239
Instance 49,0.8593454270597128
Instance 50,0.8752379464285713
All Method BMA Weighted Prediction,0.8907413220088626
