Instance,BMA Weighted Prediction
Instance 1,0.6520307364576993
Instance 2,0.6592521706304266
Instance 3,0.6510255530129673
Instance 4,0.6502824514655501
Instance 5,0.6500315949752569
Instance 6,0.649491790759832
Instance 7,0.6520307364576993
Instance 8,0.6603400503778337
Instance 9,0.6483484462557311
Instance 10,0.6470284552845528
Instance 11,0.6459586734693876
Instance 12,0.658327447023209
Instance 13,0.6500315949752569
Instance 14,0.6502824514655501
Instance 15,0.6510255530129673
Instance 16,0.6592521706304266
Instance 17,0.648012735608762
Instance 18,0.6472813299232737
Instance 19,0.6483484462557311
Instance 20,0.648012735608762
All Method BMA Weighted Prediction,0.6520307364576993
