Instance,BMA Weighted Prediction
Instance 1,0.6583639683505782
Instance 2,0.6635013212533032
Instance 3,0.6566834477498094
Instance 4,0.6572009897221164
Instance 5,0.6572009897221164
Instance 6,0.6571832760595646
Instance 7,0.6583639683505782
Instance 8,0.663
Instance 9,0.6545629139072847
Instance 10,0.6552591463414633
Instance 11,0.6552275510204081
Instance 12,0.6636700302724522
Instance 13,0.6572009897221164
Instance 14,0.6572009897221164
Instance 15,0.6566834477498094
Instance 16,0.6635013212533032
Instance 17,0.6545629139072847
Instance 18,0.6545283887468031
Instance 19,0.6545629139072847
Instance 20,0.6545629139072847
All Method BMA Weighted Prediction,0.6583639683505782
