Instance,BMA Weighted Prediction
Instance 1,0.2667840853954391
Instance 2,0.2635631899505139
Instance 3,0.29203297287714947
Instance 4,0.30137936802973975
Instance 5,0.30344831568816166
Instance 6,0.273978629187524
Instance 7,0.22823339694656486
Instance 8,0.20181247593376972
Instance 9,0.34650498848810435
Instance 10,0.4015950649350649
Instance 11,0.3884302086394358
Instance 12,0.2747011952191235
Instance 13,0.29341956706281835
Instance 14,0.3346947085572551
Instance 15,0.35252937158469944
Instance 16,0.3209541131716595
Instance 17,0.2280550458715596
Instance 18,0.1398802634674194
Instance 19,0.20181247593376972
Instance 20,0.11286020846106683
Instance 21,0.4386771653543307
Instance 22,0.46125830129325407
Instance 23,0.35252937158469944
Instance 24,0.2280550458715596
Instance 25,0.20181247593376972
Instance 26,0.35294512195121946
Instance 27,0.29341956706281835
Instance 28,0.34650498848810435
Instance 29,0.4015950649350649
Instance 30,0.3884302086394358
Instance 31,0.2747011952191235
Instance 32,0.11286020846106683
Instance 33,0.1398802634674194
Instance 34,0.20181247593376972
Instance 35,0.12974406332453825
All Method BMA Weighted Prediction,0.2667840853954391
