Instance,BMA Weighted Prediction
Instance 1,0.4733157043506388
Instance 2,0.4960041872858774
Instance 3,0.49919216450983867
Instance 4,0.5112739776951672
Instance 5,0.48611799807507217
Instance 6,0.4554770889487871
Instance 7,0.43774007633587786
Instance 8,0.42386869464767035
Instance 9,0.5933949859299054
Instance 10,0.5815475324675325
Instance 11,0.5256429620922715
Instance 12,0.4081725406068035
Instance 13,0.5295921052631579
Instance 14,0.5456978090119885
Instance 15,0.5349558287795992
Instance 16,0.46709938183547306
Instance 17,0.40766760762173604
Instance 18,0.36904751823100446
Instance 19,0.42386869464767035
Instance 20,0.3090306560392398
Instance 21,0.6567795275590551
Instance 22,0.5865763718979378
Instance 23,0.5349558287795992
Instance 24,0.40766760762173604
Instance 25,0.42386869464767035
Instance 26,0.4699227642276423
Instance 27,0.5295921052631579
Instance 28,0.5933949859299054
Instance 29,0.5815475324675325
Instance 30,0.5256429620922715
Instance 31,0.4081725406068035
Instance 32,0.3090306560392398
Instance 33,0.36904751823100446
Instance 34,0.42386869464767035
Instance 35,0.26689973614775725
All Method BMA Weighted Prediction,0.4733157043506388
