Instance,BMA Weighted Prediction
Instance 1,0.8194483260553129
Instance 2,0.8131621621621622
Instance 3,0.8510063818471901
Instance 4,0.8602622676579925
Instance 5,0.8199139557266603
Instance 6,0.7896390065460146
Instance 7,0.809451145038168
Instance 8,0.788686946476704
Instance 9,0.9127127142491687
Instance 10,0.9233488311688312
Instance 11,0.8391863062004115
Instance 12,0.7566852589641434
Instance 13,0.8502190152801358
Instance 14,0.9016306324927654
Instance 15,0.8699943078324225
Instance 16,0.7832118402282453
Instance 17,0.7707033639143731
Instance 18,0.7695401082098329
Instance 19,0.788686946476704
Instance 20,0.7069438994481914
Instance 21,0.9450866141732284
Instance 22,0.9051481999300944
Instance 23,0.8699943078324225
Instance 24,0.7707033639143731
Instance 25,0.788686946476704
Instance 26,0.8254577235772357
Instance 27,0.8502190152801358
Instance 28,0.9127127142491687
Instance 29,0.9233488311688312
Instance 30,0.8391863062004115
Instance 31,0.7566852589641434
Instance 32,0.7069438994481914
Instance 33,0.7695401082098329
Instance 34,0.788686946476704
Instance 35,0.6591270888302551
All Method BMA Weighted Prediction,0.8194483260553129
