Instance,BMA Weighted Prediction
Instance 1,0.425373443312308
Instance 2,0.42455538637228785
Instance 3,0.4480847367488034
Instance 4,0.4602059479553903
Instance 5,0.4410394610202118
Instance 6,0.4134485945321525
Instance 7,0.3986263358778626
Instance 8,0.38869503273007316
Instance 9,0.5049884881043746
Instance 10,0.5284638961038961
Instance 11,0.4861569203643844
Instance 12,0.38838063132087036
Instance 13,0.4516502546689304
Instance 14,0.4905890863993385
Instance 15,0.4865719489981784
Instance 16,0.4299971469329529
Instance 17,0.377833450952717
Instance 18,0.3475888026346742
Instance 19,0.38869503273007316
Instance 20,0.3050177805027591
Instance 21,0.5597795275590551
Instance 22,0.5424515903530234
Instance 23,0.4865719489981784
Instance 24,0.377833450952717
Instance 25,0.38869503273007316
Instance 26,0.4524837398373984
Instance 27,0.4516502546689304
Instance 28,0.5049884881043746
Instance 29,0.5284638961038961
Instance 30,0.4861569203643844
Instance 31,0.38838063132087036
Instance 32,0.3050177805027591
Instance 33,0.3475888026346742
Instance 34,0.38869503273007316
Instance 35,0.2885153913808267
All Method BMA Weighted Prediction,0.425373443312308
