Instance,BMA Weighted Prediction
Instance 1,0.37215681818181817
Instance 2,0.35434527872582483
Instance 3,0.3853573333333333
Instance 4,0.38859979370809694
Instance 5,0.38547544110634235
Instance 6,0.3885036354823074
Instance 7,0.3869209012464046
Instance 8,0.3870302013422819
Instance 9,0.376873271889401
Instance 10,0.37396665143901325
Instance 11,0.2661099544567339
Instance 12,0.2726931818181818
Instance 13,0.36757780879274254
Instance 14,0.40724597273853774
Instance 15,0.40473420479302835
Instance 16,0.40361224489795916
Instance 17,0.4052616726526424
Instance 18,0.4035076064908722
Instance 19,0.39222519455252924
Instance 20,0.37873228346456694
Instance 21,0.26794167758846654
Instance 22,0.2661099544567339
Instance 23,0.40473420479302835
Instance 24,0.4052616726526424
Instance 25,0.39222519455252924
Instance 26,0.26794167758846654
Instance 27,0.36757780879274254
Instance 28,0.39376194539249143
Instance 29,0.4281217736598279
Instance 30,0.4272101236021189
Instance 31,0.42223835319609965
Instance 32,0.4242261580381472
Instance 33,0.4092621009268796
Instance 34,0.3942704156479218
Instance 35,0.2726931818181818
Instance 36,0.26794167758846654
Instance 37,0.39260114777618355
Instance 38,0.39737279411764703
Instance 39,0.3948380332610268
Instance 40,0.39500289226319596
Instance 41,0.37952215405589634
Instance 42,0.37520659488559893
Instance 43,0.17740407673860906
Instance 44,0.37253774215096863
Instance 45,0.4333331076506432
Instance 46,0.42726785714285714
Instance 47,0.4123846604215457
All Method BMA Weighted Prediction,0.37215681818181817
