Instance,BMA Weighted Prediction
Instance 1,0.3634236363636363
Instance 2,0.3572445961319682
Instance 3,0.37597706666666664
Instance 4,0.37922949974213505
Instance 5,0.3773938960419646
Instance 6,0.3785264178380998
Instance 7,0.3772732502396931
Instance 8,0.37820230105464997
Instance 9,0.3680470046082949
Instance 10,0.3651946094106898
Instance 11,0.2480019518542615
Instance 12,0.2541363636363636
Instance 13,0.3722686671318911
Instance 14,0.3969956629491946
Instance 15,0.3960724400871459
Instance 16,0.3942668367346938
Instance 17,0.39423293996921493
Instance 18,0.3937068965517241
Instance 19,0.38329766536964976
Instance 20,0.3698661417322834
Instance 21,0.2497103538663171
Instance 22,0.2480019518542615
Instance 23,0.3960724400871459
Instance 24,0.39423293996921493
Instance 25,0.38329766536964976
Instance 26,0.2497103538663171
Instance 27,0.3722686671318911
Instance 28,0.4003882252559727
Instance 29,0.4186724023825281
Instance 30,0.417043555032372
Instance 31,0.41182177681473453
Instance 32,0.41294713896457763
Instance 33,0.399340885684861
Instance 34,0.3853002444987775
Instance 35,0.2541363636363636
Instance 36,0.2497103538663171
Instance 37,0.39863199426111906
Instance 38,0.4008808823529412
Instance 39,0.3986189443239335
Instance 40,0.40002024584237167
Instance 41,0.38374914792092707
Instance 42,0.37934656796769856
Instance 43,0.1744328537170264
Instance 44,0.3766399465597863
Instance 45,0.4212044685172648
Instance 46,0.4160855911330049
Instance 47,0.40132025761124124
All Method BMA Weighted Prediction,0.3634236363636364
