Instance,BMA Weighted Prediction
Instance 1,0.3439504545454546
Instance 2,0.3441894197952219
Instance 3,0.3773952
Instance 4,0.36723053120165033
Instance 5,0.34890891750119213
Instance 6,0.36207658749394095
Instance 7,0.3594683604985618
Instance 8,0.3440570469798658
Instance 9,0.34793133640553003
Instance 10,0.34560849703060764
Instance 11,0.21322706571242683
Instance 12,0.21784491978609627
Instance 13,0.38800418702023726
Instance 14,0.410771375464684
Instance 15,0.3741998910675382
Instance 16,0.36833418367346943
Instance 17,0.37974551051821454
Instance 18,0.3604781947261663
Instance 19,0.3482602140077821
Instance 20,0.34963270032422417
Instance 21,0.21466317169069465
Instance 22,0.21322706571242683
Instance 23,0.3741998910675382
Instance 24,0.37974551051821454
Instance 25,0.3482602140077821
Instance 26,0.21466317169069465
Instance 27,0.38800418702023726
Instance 28,0.436330204778157
Instance 29,0.42220780939774977
Instance 30,0.3986486168334315
Instance 31,0.38737540628385697
Instance 32,0.3820904632152589
Instance 33,0.365181771369722
Instance 34,0.35005819070904654
Instance 35,0.21784491978609627
Instance 36,0.21466317169069465
Instance 37,0.3840925394548063
Instance 38,0.4049463235294118
Instance 39,0.4002993492407809
Instance 40,0.37705422993492405
Instance 41,0.3808957055214724
Instance 42,0.3770524899057874
Instance 43,0.15766546762589925
Instance 44,0.3743847695390782
Instance 45,0.4422870683818551
Instance 46,0.4057272167487685
Instance 47,0.40761651053864173
All Method BMA Weighted Prediction,0.3439504545454546
