Instance,BMA Weighted Prediction
Instance 1,0.25552285191956126
Instance 2,0.29277079697498554
Instance 3,0.24867382230172927
Instance 4,0.22582153480071385
Instance 5,0.24352209781968176
Instance 6,0.2644964610717897
Instance 7,0.25925392296718974
Instance 8,0.13508247422680414
Instance 9,0.20190714285714287
Instance 10,0.21003958333333334
Instance 11,0.287310379241517
Instance 12,0.24107479508196722
Instance 13,0.2990190397350993
Instance 14,0.20303247863247864
Instance 15,0.1964529411764706
Instance 16,0.25376395427034293
Instance 17,0.25979277436946147
Instance 18,0.22866694772344018
Instance 19,0.25979277436946147
Instance 20,0.2336478585995921
All Method BMA Weighted Prediction,0.25552285191956126
