Instance,BMA Weighted Prediction
Instance 1,0.5356742096884239
Instance 2,0.5336065813528336
Instance 3,0.5315795171727227
Instance 4,0.5383307711381105
Instance 5,0.5321393581081081
Instance 6,0.5325980855295873
Instance 7,0.5378877223320158
Instance 8,0.5347709747817652
Instance 9,0.5329139262580965
Instance 10,0.5389367506728651
Instance 11,0.5360141871165643
Instance 12,0.5383708541426558
Instance 13,0.5347480590653066
Instance 14,0.5341037219485495
Instance 15,0.5346333333333333
Instance 16,0.5285050411249669
Instance 17,0.5347453035665668
Instance 18,0.5370610596026488
Instance 19,0.5317167869553594
Instance 20,0.5362828023758098
Instance 21,0.5397452803997779
Instance 22,0.5391422722620265
Instance 23,0.5346333333333333
Instance 24,0.5347453035665668
Instance 25,0.5317167869553594
Instance 26,0.5397452803997779
Instance 27,0.5289775748623605
Instance 28,0.5314411370739693
Instance 29,0.5296798000588061
Instance 30,0.5308851688693098
Instance 31,0.5303934210526314
Instance 32,0.5335751470588234
Instance 33,0.5339512087264149
Instance 34,0.5352455552317106
Instance 35,0.5367876669773219
Instance 36,0.5437761698022188
Instance 37,0.5321117486730741
Instance 38,0.5326592834844656
Instance 39,0.5389761026700103
Instance 40,0.5352432549415668
Instance 41,0.540146922681296
Instance 42,0.5482042147516307
Instance 43,0.5447182448036951
Instance 44,0.5396053604436228
Instance 45,0.5370059859154929
Instance 46,0.5260155786350147
Instance 47,0.5292894363700814
Instance 48,0.5310265526552654
Instance 49,0.5336140125045974
Instance 50,0.5298670052372639
Instance 51,0.54478100456621
Instance 52,0.5392845789651673
Instance 53,0.5368407095187916
Instance 54,0.5374133670735337
Instance 55,0.5414049180327869
Instance 56,0.5366302534235793
Instance 57,0.5324705781731097
Instance 58,0.5336819505094612
Instance 59,0.5243576134010917
Instance 60,0.5471473628412403
All Method BMA Weighted Prediction,0.5356742096884238
