Instance,BMA Weighted Prediction
Instance 1,0.25941823970889244
Instance 2,0.2554227909811091
Instance 3,0.25786635141861625
Instance 4,0.26203173816017855
Instance 5,0.2560209942084942
Instance 6,0.25719778717056196
Instance 7,0.2612217144268775
Instance 8,0.2577364209505335
Instance 9,0.2583320876930743
Instance 10,0.26296941521898703
Instance 11,0.25666845603271987
Instance 12,0.2599991035984122
Instance 13,0.2625965900441468
Instance 14,0.260596332785988
Instance 15,0.2584822751322752
Instance 16,0.25331347837622714
Instance 17,0.25897440784100195
Instance 18,0.25951483443708606
Instance 19,0.256398823843892
Instance 20,0.26215955723542117
Instance 21,0.2604611327040533
Instance 22,0.25693566310864163
Instance 23,0.2584822751322752
Instance 24,0.25897440784100195
Instance 25,0.256398823843892
Instance 26,0.2604611327040533
Instance 27,0.2533414797905197
Instance 28,0.25582050900431613
Instance 29,0.25654454572184654
Instance 30,0.2557563876651983
Instance 31,0.25482514619883045
Instance 32,0.2568988235294118
Instance 33,0.2582404186320754
Instance 34,0.26035616438356163
Instance 35,0.2592308170239204
Instance 36,0.2613556841936003
Instance 37,0.2537004733897576
Instance 38,0.25502348743868003
Instance 39,0.25984584747012834
Instance 40,0.25572846631077767
Instance 41,0.26725475741470944
Instance 42,0.27337665161398234
Instance 43,0.26526576656599754
Instance 44,0.2583143869377696
Instance 45,0.2694323943661972
Instance 46,0.25285979228486655
Instance 47,0.264218007798653
Instance 48,0.2592224722472247
Instance 49,0.2620452372195661
Instance 50,0.255324234248532
Instance 51,0.27271470319634705
Instance 52,0.26861515049036183
Instance 53,0.26987530734106074
Instance 54,0.2640561178922298
Instance 55,0.26793333333333336
Instance 56,0.2604674956713364
Instance 57,0.26473297981525834
Instance 58,0.2598090247452693
Instance 59,0.25468661773009604
Instance 60,0.27698436257619924
All Method BMA Weighted Prediction,0.2594182397088925
