Instance,BMA Weighted Prediction
Instance 1,0.0782254946554469
Instance 2,0.07756026812918952
Instance 3,0.07225622200099555
Instance 4,0.08012558889164395
Instance 5,0.07904090250965251
Instance 6,0.07680445052212831
Instance 7,0.07975370553359686
Instance 8,0.07930613482056255
Instance 9,0.07585064773293472
Instance 10,0.08021543919745533
Instance 11,0.08076393149284254
Instance 12,0.07484351389422463
Instance 13,0.07478657329882785
Instance 14,0.07375875752599893
Instance 15,0.08114669312169313
Instance 16,0.07760559830193686
Instance 17,0.07835366185679284
Instance 18,0.08104476821192053
Instance 19,0.0768686180165731
Instance 20,0.07784759719222462
Instance 21,0.08324028317601333
Instance 22,0.07726787542038309
Instance 23,0.08114669312169313
Instance 24,0.07835366185679284
Instance 25,0.0768686180165731
Instance 26,0.08324028317601333
Instance 27,0.07105116154156035
Instance 28,0.07255484447090342
Instance 29,0.0744200235224934
Instance 30,0.0797898678414097
Instance 31,0.07935116959064328
Instance 32,0.07967470588235294
Instance 33,0.07855277122641507
Instance 34,0.07911643835616437
Instance 35,0.08087558247903075
Instance 36,0.07978790802379805
Instance 37,0.08061052933581984
Instance 38,0.0779931618849413
Instance 39,0.08150626936126273
Instance 40,0.08093521858317705
Instance 41,0.08193536773529916
Instance 42,0.08775397223615991
Instance 43,0.08898507727837983
Instance 44,0.07567744916820704
Instance 45,0.07589507042253522
Instance 46,0.07073486646884274
Instance 47,0.06978376462247429
Instance 48,0.07175472547254727
Instance 49,0.07662522986392059
Instance 50,0.0646070465005555
Instance 51,0.07253242009132421
Instance 52,0.07892779844436928
Instance 53,0.07404127151387424
Instance 54,0.07534802024412028
Instance 55,0.0809761384335155
Instance 56,0.06846529198803718
Instance 57,0.07355833048238111
Instance 58,0.07490815138282386
Instance 59,0.07309410878976097
Instance 60,0.0792117678240127
All Method BMA Weighted Prediction,0.07822549465544688
