Instance,BMA Weighted Prediction
Instance 1,0.3959644381223329
Instance 2,0.4157732041969331
Instance 3,0.4198651315789474
Instance 4,0.4070532889258951
Instance 5,0.39101219512195123
Instance 6,0.3808352626892253
Instance 7,0.3558476881233001
Instance 8,0.4568523622047244
Instance 9,0.4752582938388626
Instance 10,0.4446972111553786
Instance 11,0.3817863636363637
Instance 12,0.27688256227758007
Instance 13,0.4470667302192564
Instance 14,0.4378842729970327
Instance 15,0.40405832449628853
Instance 16,0.369750289017341
Instance 17,0.32128292682926834
Instance 18,0.38722571819425444
Instance 19,0.3817863636363637
Instance 20,0.32128292682926834
Instance 21,0.500467576791809
Instance 22,0.4378914893617022
Instance 23,0.40405832449628853
Instance 24,0.32128292682926834
Instance 25,0.27688256227758007
Instance 26,0.24580672268907564
Instance 27,0.40850804289544235
Instance 28,0.4752582938388626
Instance 29,0.4446972111553786
Instance 30,0.3817863636363637
All Method BMA Weighted Prediction,0.3959644381223329
